epoch,train_huber,validation_huber,validation_wmape,train_mse,validation_mse
1,0.005088875109645267,0.005795438225114984,0.23088903912163872,0.005088875109645267,0.005795438225114984
2,0.004402196810265342,0.005749899345184011,0.22417511828902062,0.004402196810265342,0.005749899345184011
3,0.0043860223827763434,0.005756635850827608,0.22502125308813833,0.0043860223827763434,0.005756635850827608
4,0.004330055701786712,0.005758223739186568,0.21650296085786178,0.004330055701786712,0.005758223739186568
5,0.00430743281275124,0.005751126179737704,0.21612524493676508,0.00430743281275124,0.005751126179737704
6,0.004291657917013752,0.005764317016915551,0.21650304018995326,0.004291657917013752,0.005764317016915551
7,0.004259639535091757,0.005763795758996691,0.21604276225020697,0.004259639535091757,0.005763795758996691
8,0.00426430955732001,0.005740377054150615,0.22122950204822264,0.00426430955732001,0.005740377054150615
9,0.004237215776341937,0.005761693830468825,0.2160676237591267,0.004237215776341937,0.005761693830468825
10,0.004249493483521585,0.005761135336277741,0.2199596667015906,0.004249493483521585,0.005761135336277741
11,0.004235776656705346,0.00575711894115167,0.22209820528390045,0.004235776656705346,0.00575711894115167
12,0.004190053151462287,0.005746457775655601,0.21974279137227015,0.004190053151462287,0.005746457775655601
13,0.004203378758956528,0.005744675041309425,0.21804306733801707,0.004203378758956528,0.005744675041309425
14,0.004190287547140953,0.005748494029311197,0.22147935624249124,0.004190287547140953,0.005748494029311197
