,SD,DE,DC,ATD
SD,1.0,0.18955926401369277,0.029248426508700482,0.12596192790603483
DE,0.18955926401369277,1.0,0.06923282544774124,0.19760479041916168
DC,0.029248426508700482,0.06923282544774124,1.0,0.0035122930255895636
ATD,0.12596192790603483,0.19760479041916168,0.0035122930255895636,1.0
