sd_weight,de_weight
0.08229484652749645,0.056022408963585436
0.0869544165058236,0.038948912898492734
0.0816592255120943,0.027344271041750034
0.08405840175380554,0.018270639960918416
0.08213242272069368,0.019715224534501644
0.08491309549115042,0.023099415204678363
0.081729614703592,0.037317073170731706
0.0891822783546502,0.06367583212735166
0.08664871878852584,0.05520702634880803
0.08727613252495375,0.0566189480456812
0.0962068821791501,0.14415357766143105
0.08484417760522289,0.26666666666666666
0.09476600131022091,0.13737008585630367
0.09156252263493775,0.08165680473372781
0.08977912379591954,0.1143131604226705
0.08468797939258095,0.0658578856152513
0.0823939270603205,0.10976948408342481
0.08377102271925455,0.13406079501169135
0.08167745528737651,0.3223495702005731
0.08165375008574965,0.2698224852071006
0.08238144617313357,0.16813509544787078
0.08159583194920744,0.02076923076923077
0.1023506965412358,0.04814814814814815
0.08638831241714286,0.10455764075067024
0.10051779734325378,0.056910569105691054
0.10936894955815657,0.10991957104557641
0.09354599566698765,0.12275449101796407
0.08184816503467082,0.020624356995884774
0.08571039277890331,0.02383762419717846
0.08465096574126409,0.020200989644442176
0.08434353554743508,0.019557151878749606
0.08272725276791339,0.01553282755279833
0.08229484652749645,0.056022408963585436
0.08828403679570451,0.10990037359900373
0.08433443579976664,0.12349780166096727
0.0869544165058236,0.038948912898492734
0.08828403679570451,0.10990037359900373
0.08980122700907499,0.051386143902569306
0.08750853038615605,0.02588955490371126
0.09116087253758333,0.04201270151441133
0.087202785446889,0.0379459380265182
0.08225625842456694,0.044716881284177105
0.08623399114390776,0.06273105360443623
0.08862053529079925,0.017876555139509604
0.08610976906818121,0.0744051213914724
0.0847455373546201,0.01956758062567943
0.08420965293374252,0.06453352507639763
0.09065895913684711,0.07352148121517167
0.08229258156553085,0.03173431734317343
0.08170969085622254,0.03217688297681107
0.0965682930210397,0.1971957576847025
0.08712827775166541,0.034519478214570944
0.08317442485095948,0.03798029993788269
0.08951844827193675,0.13734776725304465
0.08205850022261664,0.046008119079837616
0.08207931533743279,0.026532479414455627
0.08674686296996434,0.02658045977011494
0.08951844827193675,0.13734776725304465
0.08584603752986861,0.08215426745778183
0.08634193243749462,0.25969876768598815
0.08996840994367997,0.08142726440988106
0.08414366998064869,0.054039448797622264
0.09097965444680634,0.031609195402298854
0.08322257456416492,0.0365093499554764
0.08307515953537119,0.02178217821782178
0.08712827775166541,0.034519478214570944
0.08718738066268117,0.03828016643550624
0.08200900636648698,0.023737154436242584
0.08575559983818819,0.01914008321775312
0.0874121289445514,0.03828016643550624
0.08635428626754883,0.037170596393897366
0.08581387852229838,0.08071585098612126
0.08747749023634827,0.11303871439006574
0.09481776941001846,0.01596351197263398
0.08607443288625143,0.01596351197263398
0.0891615882421222,0.019384264538198404
0.08690737202173002,0.01596351197263398
0.08534752036519738,0.1379703534777651
0.08341663099181669,0.031235146329870307
0.08257673022622435,0.02267476683494481
0.09069697369470302,0.06141515583130145
0.08730270807417534,0.0165367066605509
0.08220187603966622,0.013108659440407504
0.08935866478771472,0.03164908384230983
0.08317077121472995,0.01692175582158913
0.08304458254514956,0.07699160091626368
0.08309780374256677,0.019844047992661082
0.08878992739477898,0.09243421052631579
0.08205219255729214,0.037171052631578945
0.09010830740490143,0.03125
0.09022545242360838,0.04144736842105263
0.08364438006673106,0.013157894736842105
0.08760344607796929,0.023026315789473683
0.0831995133758379,0.027950189327399774
0.08862053529079925,0.017876555139509604
0.0895832891647318,0.10568662211918724
0.08385419852602768,0.31300699300699303
0.08159304792387352,0.03813519813519813
0.08986198561252395,0.17939393939393938
0.08420661916522827,0.045924700041373605
0.09214046723971875,0.05146853146853147
0.0859707541398791,0.054786707093752815
0.08357254030571645,0.07164179104477612
0.08571039277890331,0.02383762419717846
0.08818723907081036,0.02259858184971688
0.08571071345998589,0.027174771076728766
0.08161226767855295,0.05199282857536892
0.08301459777906786,0.024619860569797442
0.09006814735581473,0.02249457027614024
0.0923753261639531,0.028142589118198873
0.09148135227501446,0.16156462585034015
0.09017206704549391,0.0425531914893617
0.08718738066268117,0.03828016643550624
0.09006814735581473,0.02249457027614024
0.08453461546992755,0.03573699605748442
0.08205383881726999,0.05290601551570647
0.087301392020559,0.10619356479715121
0.08451446515968979,0.13239221671117893
0.08170735022710549,0.11013608037644665
0.08240063997012201,0.045784051888592144
0.09481776941001846,0.01596351197263398
0.08878992739477898,0.09243421052631579
0.08356564285144163,0.06901029589091921
0.0887394490768883,0.0714219460161395
0.08291350864525303,0.02162319402695627
0.08342744021081941,0.03057701791879007
0.08409846501071201,0.01660364951504192
0.08213242272069368,0.019715224534501644
0.10982899622716645,0.23623188405797102
0.08196986133458146,0.021585279547062988
0.09878238090758933,0.07631578947368421
0.10562141086323977,0.06806930693069307
0.08907044144533913,0.22766390236269754
0.1064485957321937,0.049249359209080926
0.08975480413072967,0.2381309814224057
0.08822079152326602,0.13581732995055465
0.0843848858534853,0.39264582530434583
0.08678329970540972,0.02245362837617963
0.09074134056460668,0.31666136724960253
0.08878566124269098,0.01336985507945893
0.08818166584748006,0.05560165975103734
