station_name,community
Vähäntuvantie,inf_3
Arielinkatu,inf_4
Designmuseo,inf_4
Ehrenströmintie,inf_4
Erottajan aukio,inf_4
Eteläesplanadi,inf_4
Haapaniemenkatu,inf_4
Hakaniemi (M),inf_4
Haukilahdenkatu,inf_4
Isoisänsilta,inf_4
Kaisaniemenpuisto,inf_4
Kaivopuisto,inf_4
Kalasatama (M),inf_4
Kanavaranta,inf_4
Kasarmitori,inf_4
Korkeasaari,inf_4
Kulosaari (M),inf_4
Laivasillankatu,inf_4
Liisanpuistikko,inf_4
Lintulahdenkatu,inf_4
Mastokatu,inf_4
Merihaka,inf_4
Merisotilaantori,inf_4
Mustikkamaa,inf_4
Näkinsilta,inf_4
Porthania,inf_4
Rautatientori / itä,inf_4
Relanderinaukio,inf_4
Ritarikatu,inf_4
Senaatintori,inf_4
Sompasaari,inf_4
Teurastamo,inf_4
Toinen linja,inf_4
Tupasaarentie,inf_4
Unioninkatu,inf_4
Vanha Kauppahalli,inf_4
Varsapuistikko,inf_4
Verkkosaari,inf_4
Vilhonvuorenkatu,inf_4
Ympyrätalo,inf_4
Ahertajantie,inf_5
Auringonkatu,inf_5
Avaruuskatu,inf_5
Betonimies,inf_5
Etuniementie,inf_5
Friisilänaukio,inf_5
Golfpolku,inf_5
Hagalundinpuisto,inf_5
Hakalehto,inf_5
Hauenkallio,inf_5
Hauenkalliontie,inf_5
Haukilahdenaukio,inf_5
Haukilahdenranta,inf_5
Innopoli,inf_5
Itäportti,inf_5
Jämeräntaival,inf_5
Kalevalantie,inf_5
Keilalahti,inf_5
Keilaniemi (M),inf_5
Keilaranta,inf_5
Koivu-Mankkaa,inf_5
Komeetankatu,inf_5
Kulttuuriaukio,inf_5
Kuunkatu,inf_5
Lehtisaarentie,inf_5
Linnakepolku,inf_5
Louhentori,inf_5
Lukutori,inf_5
Lystimäensilta,inf_5
Lystimäki,inf_5
Länsituuli,inf_5
Maarinranta,inf_5
Mankkaanaukio,inf_5
Mankkaanlaaksontie,inf_5
Matinkartanontie,inf_5
Matinkyläntie,inf_5
Matinlahdenranta,inf_5
Mellstenintie,inf_5
Metsänneidonpolku,inf_5
Mäntyviita,inf_5
Nelikkotie,inf_5
Niittykumpu (M),inf_5
Niittymaa,inf_5
Nokkala,inf_5
Nuottaniementie,inf_5
Olarinluoma,inf_5
Oravannahkatori,inf_5
Orionintie,inf_5
Otaranta,inf_5
Otsolahti,inf_5
Piispankallio,inf_5
Piispanportti,inf_5
Piispansilta,inf_5
Pohjankulma,inf_5
Revontulentie,inf_5
Ruomelantie,inf_5
Sateentie,inf_5
Sepetlahdentie,inf_5
Suomenlahdentie,inf_5
Suurpellonaukio,inf_5
Sähkömies,inf_5
Tapiolan urheilupuisto,inf_5
Tapionaukio,inf_5
Tekniikantie,inf_5
Tietäjä,inf_5
Tiistiläntie,inf_5
Tiistinkallio,inf_5
Tontunmäentie,inf_5
Toppelundinportti,inf_5
Toppelundintie,inf_5
Tuulimäki,inf_5
Urheilupuisto (M),inf_5
Westendinasema,inf_5
Westendintie,inf_5
Albertinkatu,inf_6
Annankatu,inf_6
Apollonkatu,inf_6
Baana,inf_6
Bermudankuja,inf_6
Eerikinkatu,inf_6
Hernesaarenranta,inf_6
Hietalahdentori,inf_6
Hietaniemenkatu,inf_6
Itämerentori,inf_6
Jätkäsaarenlaituri,inf_6
Kaapelitehdas,inf_6
Kalevankatu,inf_6
Kamppi (M),inf_6
Kapteeninpuistikko,inf_6
Kauppakorkeakoulu,inf_6
Lastenlehto,inf_6
Lauttasaarensilta,inf_6
Leppäsuonaukio,inf_6
Länsisatamankatu,inf_6
Länsisatamankuja,inf_6
Länsiterminaali,inf_6
Mannerheimintie,inf_6
Marian sairaala,inf_6
Perämiehenkatu,inf_6
Salmisaarenranta,inf_6
Sammonpuistikko,inf_6
Sepänkatu,inf_6
Tyynenmerenkatu,inf_6
Töölönlahdenkatu,inf_6
Vanha kirkkopuisto,inf_6
Viiskulma,inf_6
Välimerenkatu,inf_6
Cygnaeuksenkatu,inf_7
Eläinmuseo,inf_7
Kansallismuseo,inf_7
Kiasma,inf_7
Korjaamo,inf_7
Messeniuksenkatu,inf_7
Narinkka,inf_7
Olympiastadion,inf_7
Ooppera,inf_7
Rautatientori / länsi,inf_7
Töölönkatu,inf_7
Töölönlahden puisto,inf_7
Töölöntori,inf_7
Uimastadion,inf_7
Derby Business Park,inf_8
Elfvik,inf_8
Gallen-Kallelan tie,inf_8
Gransinmäki,inf_8
Kalkkipellonmäki,inf_8
Kirjurinkuja,inf_8
Komentajankatu,inf_8
Kutsuntatie,inf_8
Laajalahden keskus,inf_8
Leppävaaran uimahalli,inf_8
Leppävaaran urheilupuisto,inf_8
Leppävaaranaukio,inf_8
Leppävaarankäytävä,inf_8
Linnuntie,inf_8
Läkkitori,inf_8
Majurinkulma,inf_8
Muurarinkuja,inf_8
Mäkkylän asema,inf_8
Painiitty,inf_8
Postipuun koulu,inf_8
Ratsutori,inf_8
Rummunlyöjänkatu,inf_8
Ruutikatu,inf_8
Säteri,inf_8
Säterinniitty,inf_8
Säterinrinne,inf_8
Upseerinkatu,inf_8
Vallikatu,inf_8
Vallipolku,inf_8
Yhdyskunnankuja,inf_8
Ala-Malmin tori,inf_9
Alppikylä,inf_9
Halmetie,inf_9
Heikinlaakso,inf_9
Helluntairaitti,inf_9
Huhtakuja,inf_9
Jakomäentie,inf_9
Jakomäki,inf_9
Jokipellontie,inf_9
Karhusuontie,inf_9
Karviaistie,inf_9
Kotinummentie,inf_9
Laulurastaantie,inf_9
Maatullinkuja,inf_9
Malmin asema,inf_9
Malmin sairaala,inf_9
Porvarintie,inf_9
Puistolan VPK,inf_9
Puistolan asema,inf_9
Puistolantori,inf_9
Pukinmäen asema,inf_9
Pukinmäen liikuntapuisto,inf_9
Saniaiskuja,inf_9
Sateenkaarentie,inf_9
Siltamäki,inf_9
Syystie,inf_9
Tapanilan asema,inf_9
Teerisuontie,inf_9
Tilketori,inf_9
Töyrynummentie,inf_9
Töyrynummi,inf_9
Vanha Tapanilantie,inf_9
Väärämäentie,inf_9
