population_share,out_strength_lorenz,in_strength_lorenz
0.0,0.0,0.0
0.0022271714922048997,1.5323673737906724e-05,1.6071170017804613e-05
0.004454342984409799,3.2516088175558175e-05,3.505757552721099e-05
0.006681514476614699,5.269848773280118e-05,5.5464223968423366e-05
0.008908685968819599,7.579612278164595e-05,7.74406145974213e-05
0.011135857461024499,9.926750597043966e-05,9.979075336636818e-05
0.013363028953229397,0.00012423388171902916,0.00012296313804320273
0.015590200445434297,0.00015054575077143485,0.0001474810160238535
0.017817371937639197,0.00017753036647574864,0.00017416663321620813
0.020044543429844096,0.0002054119777159399,0.0002013007481765015
0.022271714922048998,0.00023404108523602905,0.00022910760978870297
0.024498886414253896,0.00026304394089606714,0.0002579609661927615
0.026726057906458794,0.0002957842779555947,0.0002895053092044524
0.028953229398663696,0.0003301691068308976,0.00032217089663599016
0.031180400890868595,0.00036664692528991455,0.0003576769699311399
0.03340757238307349,0.00040327424300491113,0.00039340729211025896
0.035634743875278395,0.00044005105997588727,0.0004293618631733474
0.0378619153674833,0.0004774258739707817,0.00046643767865628275
0.04008908685968819,0.0005151744361056251,0.0005035882437672078
0.042316258351893093,0.0005529229982404685,0.000542831798461847
0.044543429844097995,0.00059134430702722,0.0005830470983203534
0.04677060133630289,0.0006305878617218592,0.0006260281344144821
0.04899777282850779,0.0006704294134404166,0.0006690091705086106
0.051224944320712694,0.0007125882036266576,0.0007126629532546474
0.05345211581291759,0.0007553449908368168,0.0007563167360006842
0.05567928730512249,0.0007984755261869251,0.0008004190165146596
0.05790645879732739,0.000842428307444921,0.000844895045168584
0.060133630289532294,0.0008868295864708555,0.0008895953227064777
0.06236080178173719,0.0009317541128927186,0.0009343703498723612
0.06458797327394208,0.0009766786393145819,0.0009794443755502039
0.06681514476614699,0.001021902164248404,0.0010253406471359343
0.06904231625835189,0.001067275188438206,0.0010719096653735729
0.07126948775055679,0.0011127229622559976,0.001119300929519099
0.07349665924276169,0.001159366730121626,0.0011669164425485946
0.0757238307349666,0.0012064589957551928,0.0012155784503699472
0.0779510022271715,0.0012536260110167497,0.0012649879544711976
0.08017817371937638,0.0013021385195821228,0.0013150702052243562
0.08240534521158129,0.0013510995259154344,0.0013654514544894738
0.08463251670378619,0.00140222827146045,0.0014168791985464486
0.08685968819599109,0.001453880264401394,0.0014686059411153825
0.08908685968819599,0.0015059060054822871,0.0015213044288481838
0.09131403118040089,0.00155800649619117,0.0015740776662089746
0.09354120267260578,0.00161115348169191,0.0016272246517097147
0.09576837416481068,0.001664599465704609,0.0016814928816303012
0.09799554565701558,0.0017180454497173082,0.0017383773485305308
0.10022271714922049,0.0017723884292658847,0.0017954113146867396
0.10244988864142539,0.0018319638827737465,0.001853716024518775
0.10467706013363029,0.0018923615821894958,0.0019120954839788001
0.10690423162583518,0.0019548522711889593,0.0019709981908347537
0.10913140311804008,0.002017342960188423,0.0020304988947146257
0.11135857461024498,0.0020805063958397943,0.0020917188400382627
0.11358574610244988,0.0021438940803751353,0.002153835780897777
0.11581291759465479,0.0022074312641664562,0.002217671963201057
0.11804008908685969,0.0022710431975857663,0.002282031392900265
0.12026726057906459,0.0023365238717048217,0.0023467645707394226
0.12249443207126948,0.002402079295451866,0.002412843241882396
0.12472160356347438,0.002468382215478809,0.0024795946596772775
0.12694877505567928,0.002536404376949517,0.0025478410700319545
0.12917594654788417,0.0026045012880482146,0.002617507723318438
0.13140311804008908,0.002673719443566759,0.0026930795972161144
0.13363028953229397,0.0027515338063041294,0.0027698474651616277
0.1358574610244989,0.0028295724179254692,0.002849680067854722
0.13808463251670378,0.0029105262650384106,0.0029300359179437454
0.1403118040089087,0.00299222760843125,0.0030143534983162273
0.14253897550111358,0.0030764704391757418,0.003098745828316699
0.14476614699331847,0.003162806259503948,0.003184483651620987
0.14699331848552338,0.003249889576112052,0.003270445723809244
0.14922048997772827,0.0033375708897440746,0.0033601452773969905
0.1514476614699332,0.003428391687751668,0.0034502933287526762
0.15367483296213807,0.00352324896567071,0.00354447786001981
0.155902004454343,0.0036191527383816094,0.0036399331349627707
0.15812917594654788,0.003715579758488437,0.003739723888329139
0.16035634743875277,0.0038132027726431013,0.0038396641409514866
0.16258351893095768,0.0039144885185692655,0.003942669128321415
0.16481069042316257,0.004018091502963113,0.0040460478638312935
0.16703786191536749,0.004122142985124899,0.004149650848225141
0.16926503340757237,0.004226493465798644,0.004253328582246979
0.17149220489977726,0.004333908681219971,0.004357006316268816
0.17371937639198218,0.004442071392921195,0.004468009513833652
0.17594654788418707,0.004550906851274328,0.004579236960282458
0.17817371937639198,0.0046598918088834405,0.004692931144454927
0.18040089086859687,0.0047703717590523486,0.004807073826395334
0.18262806236080179,0.00488324369731693,0.004922861000151517
0.18485523385300667,0.005000525863632908,0.005041638159027292
0.18708240534521156,0.005118779775112754,0.0051622093089748215
0.18930957683741648,0.005237781182872498,0.0052843502011101365
0.19153674832962136,0.005358053334308069,0.0054101538250169515
0.19376391982182628,0.005480717473839312,0.0055362564474357254
0.19599109131403117,0.005613996060545106,0.005666246050509968
0.19821826280623608,0.005753927364141991,0.005800944880147567
0.20044543429844097,0.0059040246171454865,0.005940203437092544
0.20267260579064586,0.006056289609360686,0.006085666213160674
0.20489977728285078,0.006209526346739754,0.00624996589548223
0.20712694877505566,0.006373302781665382,0.006417704060691316
0.20935412026726058,0.006539172206174723,0.006585666474784372
0.21158129175946547,0.006707059870639789,0.00675975835837259
0.21380846325167036,0.006879133514272283,0.006940876706991848
0.21603563474387527,0.007067054079038612,0.007125059790358689
0.21826280623608016,0.007262972853999849,0.007320156319412037
0.22048997772828507,0.007465021098456248,0.0075209338201926105
0.22271714922048996,0.007682318267022564,0.007732774265915672
0.22494432071269488,0.007901857924428575,0.007950071434481988
0.22717149220489977,0.008123714820302268,0.0081761890591511
0.22939866369710465,0.008347066708735758,0.008403577427496037
0.23162583518930957,0.008574305577824716,0.008635226524636393
0.23385300668151446,0.008804011184637337,0.00887763956820728
0.23608017817371937,0.009053151694727304,0.009125808333133378
0.23830734966592426,0.009311037911292074,0.009379060072762783
0.24053452115812918,0.009586041792666509,0.009647112238734165
0.24276169265033407,0.009862690165856718,0.009916659397265345
0.24498886414253895,0.010153839966876944,0.010207883947913563
0.24721603563474387,0.010445737264177071,0.010503144978473229
0.24944320712694876,0.010751164244143348,0.01080363848299218
0.25167037861915365,0.011060702453649063,0.011107346221514693
0.25389755011135856,0.01139154430713187,0.011418454173208194
0.2561247216035635,0.011728141881969889,0.011729861123413654
0.25835189309576834,0.012065785951599765,0.012041866070643033
0.26057906458797325,0.012410306987004703,0.012366279456118717
0.26280623608017817,0.01275856550380913,0.012703848776120604
0.2650334075723831,0.013116018224856299,0.013041866593890429
0.26726057906458794,0.01347735792655894,0.013387359374459232
0.26948775055679286,0.013855292045675312,0.013736440137171547
0.2717149220489978,0.01424219612015046,0.014092098867146963
0.27394209354120264,0.014630669936813391,0.014463455019000234
0.27616926503340755,0.015029234953254946,0.014841987135140525
0.27839643652561247,0.015434004188819654,0.01522238799198056
0.2806236080178174,0.01584228665689988,0.015614225541903034
0.28285077951002224,0.016251615619771963,0.016011594564296752
0.28507795100222716,0.01666744780027916,0.01640956158371439
