station_name,community
Linnanmäki,4
Maistraatintori,4
Maunula,4
Messeniuksenkatu,4
Mikkolantie,4
Muotoilijankatu,4
Mäkelänkatu,4
Mäkitorpantie,4
Olympiastadion,4
Ooppera,4
Opastinsilta,4
Otto Brandtin tie,4
Oulunkylän asema,4
Paavalinpuisto,4
Paloheinän kirjasto,4
Paloheinän maja,4
Paloheinäntie,4
Pasilan asema,4
Pernajantie,4
Pihlajamäki,4
Piikintie,4
Pohjolanaukio,4
Pohjolankatu,4
Postipuisto,4
Päijänteentie,4
Radiokatu,4
Rapakiventie,4
Ratapihantie,4
Rautatieläisenkatu,4
Savela,4
Siltavoudintie,4
Sofianlehdonkatu,4
Sörnäinen (M),4
Teollisuuskatu,4
Torpparinmäentie,4
Töölönlahden puisto,4
Töölöntulli,4
Uimastadion,4
Velodrominrinne,4
Venttiilikuja,4
Verkatehtaanpuisto,4
Vesakkotie,4
Viikin normaalikoulu,4
Viikin tiedepuisto,4
Von Daehnin katu,4
Abraham Wetterin tie,5
Agnetankuja,5
Ala-Malmin tori,5
Alakiventie,5
Alppikylä,5
Asentajanpuisto,5
Aurinkolahdenaukio,5
Aurinkotuulenkatu,5
Eränkävijäntori,5
Gunillantie,5
Haakoninlahdenkatu,5
Haapasaarentie,5
Halkaisijantie,5
Halmetie,5
Heikinlaakso,5
Helluntairaitti,5
Herttoniemen kirkko,5
Herttoniemenranta,5
Herttoniemi (M),5
Huhtakuja,5
Humalniementie,5
Humikkalankuja,5
Isosaarentie,5
Itäkeskus (M),5
Itäkeskus Metrovarikko,5
Jakomäentie,5
Jakomäki,5
Jokipellontie,5
Jollas,5
Kaivonkatsojanpuisto,5
Kalkkihiekantie,5
Karhulantie,5
Karhusuontie,5
Karviaistie,5
Kauppakeskus Columbus,5
Kivikon liikuntapuisto,5
Kivikonkaari,5
Kivikonlaita,5
Kontula (M),5
Kontulankaari,5
Kotinummentie,5
Koukkusaarentie,5
Kurkimäentie,5
Kurkimäki,5
Laajasalon ostoskeskus,5
Laivalahden puistotie,5
Lallukankuja,5
Laulurastaantie,5
Leikosaarentie,5
Lettopolku,5
Lokitie,5
Maatullinkuja,5
Malmin asema,5
Malmin sairaala,5
Mamsellimyllynkatu,5
Margareetankuja,5
Marjaniementie,5
Marjaniemi,5
Mellunmäki (M),5
Meri-Rastilan tori,5
Mosaiikkitori,5
Myllypuro (M),5
Orpaanporras,5
Petter Wetterin tie,5
Peukaloisentie,5
Porolahden koulu,5
Porvarintie,5
Prinsessantie,5
Puistolan VPK,5
Puistolan asema,5
Puistolantori,5
Pukinmäen asema,5
Pukinmäen liikuntapuisto,5
Punakiventie,5
Puotila (M),5
Puotilan ostoskeskus,5
Puotilantie,5
Puotinharju,5
Puotinkylän kartano,5
Purjetie,5
Ramsinniementie,5
Rastila (M),5
Reiherintie,5
Roihupelto,5
Rukatunturintie,5
Sallatunturintie,5
Saniaiskuja,5
Sateenkaarentie,5
Siilitie (M),5
Siilitie 13,5
Siilitie 9,5
Siltamäki,5
Sinkilätie,5
Sumukuja,5
Syystie,5
Tammisalon aukio,5
Tapanilan asema,5
Teerisuontie,5
Tilketori,5
Tulisuontie,5
Tuukkalantie,5
Töyrynummentie,5
Töyrynummi,5
Ulappasilta,5
Vanha Tapanilantie,5
Vartioharjuntie,5
Varustuksentie,5
Voikukantie,5
Vuosaaren liikuntapuisto,5
Vuosaaren puistopolku,5
Väärämäentie,5
