station_name,out_degree,in_degree,out_strength,in_strength,betweenness,closeness,pagerank,eigenvector
Ramsinniementie,73,69,2050.0,1946.0,0.022742347082166985,75.32873020061425,0.0014381804267065512,1.1818398888056869e-05
Säteri,190,182,9051.0,8895.0,0.0,103.35379478200863,0.0014309319371601174,0.00036013816436634825
Gunillantie,114,106,6391.0,6965.0,0.002225950782997763,126.33180032072305,0.0014255275092050115,0.0003585642928867329
Tontunmäentie,108,126,10044.0,10064.0,0.0,147.2276496219051,0.0014178649740571305,0.00020244660466019055
Vuosaaren puistopolku,55,54,1569.0,1521.0,0.0,40.595669147377535,0.0014146340589892136,8.600738734603767e-06
Pajamäki,226,223,11070.0,11190.0,0.0,122.60814752222969,0.001412203613457169,0.0014579874493040568
Tiistinkallio,90,105,8341.0,9308.0,0.0,135.0532087038655,0.0014085465819240058,0.00011549023714794902
Syystie,83,86,1173.0,1147.0,0.0,37.80869394580894,0.0014038422896003242,2.979044167937509e-05
Gallen-Kallelan tie,198,211,10781.0,10847.0,0.07042505592841164,129.21490406746832,0.0014035545034009431,0.0014341688091648514
Kotinummentie,54,61,696.0,761.0,0.0020917225950783,30.779522463492544,0.0013944529719044333,2.1556126121386565e-06
Oravannahkatori,154,148,11744.0,10265.0,0.0,141.17833600334052,0.0013876328185011345,0.0005267556322948588
Alakiventie,119,127,4086.0,4020.0,0.0,106.04856068598241,0.001384579371758259,6.896852932120886e-05
Vanha Viertotie,256,265,14954.0,14768.0,0.0,139.3691094750965,0.0013734630442300577,0.004698743166043626
Auringonkatu,109,121,11269.0,9542.0,0.0,142.85531107042198,0.0013730180526062676,0.0002094606365316156
Keilaranta,239,246,13327.0,12661.0,0.0,125.69746866885914,0.0013704454345239588,0.002282862537850507
Pihlajamäki,195,190,6217.0,5948.0,0.002058165548098434,139.55163090228334,0.0013703994430996358,0.0007196987631936652
Von Daehnin katu,151,146,4426.0,4670.0,0.07842281879194632,133.29811224911796,0.0013658590702262407,0.00024395292366612945
Malminkartanon asema,65,71,1458.0,1485.0,3.3557046979865775e-05,46.054263640787994,0.0013616995674335401,2.2341008744131458e-05
Linnakepolku,143,138,9098.0,9599.0,0.0,123.80427906564461,0.0013554591361354027,0.000520139703205023
Olarinluoma,129,138,7788.0,8940.0,0.0,145.52944166741864,0.001351541699738513,0.0001680238390735564
Peukaloisentie,142,140,6560.0,6203.0,0.0,121.84893934852414,0.001341724281953157,0.000390777876030602
