graph,ATD,DC,DE,SD
ATD,1.0,0.05415424011907099,0.006552569638174101,-0.3230896087469367
DC,0.05415424011907099,1.0,0.6176269723954443,-0.13999726976181587
DE,0.006552569638174101,0.6176269723954443,1.0,-0.13262056474816933
SD,-0.3230896087469367,-0.13999726976181587,-0.13262056474816933,1.0
