station_name,latitude,longitude,community,pagerank
Westendinasema,60.168266,24.805758,inf_3,0.002178654335015549
Kuusitie,60.1952451922329,24.9018996998812,inf_1,0.0026267816317982425
Elfvik,60.203852,24.8231,inf_8,0.0006965548268292195
Unioninkatu,60.1674572921424,24.9510226994024,inf_0,0.006075798906301697
Venttiilikuja,60.1941915204257,24.9415225602343,inf_6,0.0027068610174278765
Jakomäki,60.2610194104155,25.0759055985793,inf_5,0.0009568531922737964
Eränkävijäntori,60.2045796219055,25.033625532716204,inf_5,0.0016781634278265017
Välimerenkatu,60.1592963414953,24.9162412896547,inf_7,0.0008502888909100975
Pihlajamäki,60.2345785634218,25.0103139042596,inf_9,0.001370399443099636
Revontulentie,60.171551,24.802938,inf_3,0.0017534319617197667
Maatullinkuja,60.2762367892689,25.0246919817259,inf_9,0.0017062703059826311
Huopalahdentie,60.199732919393,24.8835764865762,inf_1,0.005829397883094325
Hietalahdentori,60.162228389811204,24.929647631187805,inf_7,0.0062755605628691535
Tammisalon aukio,60.1916636460758,25.0610604378889,inf_5,0.0015145495343866406
Hagalundinpuisto,60.18363,24.817403,inf_3,0.000505154873961855
Leppävaaranaukio,60.218869,24.813885,inf_8,0.00484017777398787
Leppävaaran uimahalli,60.226379,24.804735,inf_8,0.0015155033273015909
Karhupuisto,60.18428329212,24.9526762998375,inf_6,0.0023625303094807447
Melkonkuja,60.1498126916296,24.8861093999757,inf_4,0.001631894006768981
Torpparinmäentie,60.2568807091704,24.9447682689237,inf_1,0.0007067519898683733
Tollinpolku,60.245908525041,24.8677110166808,inf_1,0.0012365765716337452
Pitäjänmäen asema,60.2243090934475,24.8586292857926,inf_1,0.0016357862768316322
Gallen-Kallelan tie,60.206142,24.840699,inf_8,0.001403554503400943
Golfpolku,60.168143,24.796136,inf_3,0.0009431885924551656
Marttila,60.2271498086552,24.873213304941903,inf_1,0.001089986353957175
Puotila (M),60.2148242972699,25.0910915854205,inf_5,0.0039014448017148603
Puotilantie,60.2090787864561,25.1004180257133,inf_5,0.0019374084399728644
Punakiventie,60.214001485296194,25.1467500568672,inf_5,0.0009158859253548527
Läkkitori,60.221019,24.813109,inf_8,0.00266351242608777
Kiasma,60.1712578922641,24.9374279000749,inf_6,0.004608498166513946
Petter Wetterin tie,60.193149998642596,25.0310806077186,inf_5,0.0066161269398633885
Vesakkotie,60.22795951537131,24.9266153826484,inf_9,0.0011563054526029673
Lauttasaarensilta,60.1611858173089,24.8899154000946,inf_7,0.0029876979356166233
Hauenkallio,60.162477,24.767831,inf_3,0.0009356313141156608
Ulappasilta,60.2066160428581,25.1410458716813,inf_5,0.001964180969423311
Leppäsuonaukio,60.1695846151592,24.9265784464228,inf_7,0.0023728144191551568
Herttoniemi (M),60.1946246004701,25.0289074357313,inf_5,0.005179809586609248
Sumukuja,60.2054467315293,25.1584093750563,inf_5,0.001250342169613529
Kylävoudintie,60.2244037765729,24.9525612440734,inf_9,0.0012243144041343816
Sofianlehdonkatu,60.2032720921502,24.9513635992833,inf_9,0.0014507858297972851
Kirkkoherrantie,60.2249303574235,24.972819375783395,inf_9,0.0009509053669151298
Koskelantie,60.207839984,24.946677279,inf_9,0.0036482462467107416
Jäähalli,60.1893228039601,24.920497135340803,inf_6,0.0023652587235360183
Ratapihantie,60.1964208157658,24.9366332542312,inf_6,0.0030956558526772887
Arielinkatu,60.1859217406831,24.9797385551711,inf_9,0.0029865047980350626
Nokkala,60.147974,24.754344,inf_3,0.001800888785105157
Haukilahdenaukio,60.162396,24.775882,inf_3,0.0019396571253731641
Puistokaari,60.1578749328793,24.8620200832623,inf_4,0.001832399220175271
