,SD,DE,DC,ATD
SD,1.0,0.6180079398138874,0.45709855983913716,0.5094261839152588
DE,0.6180079398138875,1.0,0.42111971032826634,0.6224011549906066
DC,0.45709855983913716,0.42111971032826634,1.0,0.27761868435518017
ATD,0.509426183915259,0.6224011549906066,0.27761868435518017,1.0
