graph,nodes,edges,density,giant_component_ratio,avg_clustering,modularity,community_count,reciprocity
SD,449,780,0.00775532930321349,0.2873051224944321,0.28610054349947533,0.9048803220137553,96,
DE,449,8039,0.039964802736239265,1.0,0.023989078774370325,0.7349105584828947,9,0.5756934942156985
DC,449,9968,0.09910913140311804,0.821826280623608,0.4684730285228033,0.37892247778901816,84,
ATD,449,8039,0.039964802736239265,0.9955456570155902,0.031534085922144565,0.672679762258339,8,0.49657917651449185
