station_name,pagerank,betweenness,out_strength,in_strength,z_pagerank,z_betweenness,z_out_strength,z_in_strength,bridge_vs_popularity,pagerank_eps,betweenness_eps
Kalasatama (M),0.008009038586393928,0.4606589996964689,139210.0,144512.0,3.4686419705584433,10.23334223343597,2.65752944963144,2.7654799137115877,6.764700262877526,0.008009048586393928,0.4606590096964689
Arabian kauppakeskus,0.0068730581233710855,0.33699819005542253,112163.0,117233.0,2.787147662995478,7.405967357972806,2.000597085494705,2.107865242636481,4.6188196949773275,0.0068730681233710855,0.3369982000554225
Verkatehtaanpuisto,0.004116314429244655,0.2221397816824615,54134.0,56640.0,1.1333294890824952,4.779850166826701,0.5911569199129185,0.6471501957339569,3.6465206777442054,0.004116324429244655,0.2221397916824615
Viikin tiedepuisto,0.00491552130182351,0.2416890380313199,28843.0,28938.0,1.6127875008676307,5.226823435036684,-0.023124753521553323,-0.020661733520143742,3.6140359341690527,0.00491553130182351,0.2416890480313199
Haukilahdenkatu,0.004884004898784903,0.22640045866918485,74189.0,75647.0,1.5938802661353388,4.877266082990387,1.0782637547841505,1.1053518179754083,3.2833858168550476,0.004884014898784903,0.22640046866918484
Lintulahdenkatu,0.0053001422184900965,0.20469798657718122,108722.0,111426.0,1.8435282343661943,4.3810617923466015,1.917020191014929,1.9678759323636283,2.5375335579804075,0.0053001522184900965,0.2046979965771812
Niittykumpu (M),0.00670296503089904,0.23803131991051454,55255.0,55208.0,2.6851058779043653,5.1431935417316765,0.6183843824853767,0.6126289812840301,2.4580876638273113,0.00670297503089904,0.23803132991051454
Ala-Malmin tori,0.0028955793468848257,0.1124944071588367,2937.0,3025.0,0.40098942096470164,2.272923533896542,-0.6523438841211116,-0.6453462517051668,1.8719341129318405,0.0028955893468848256,0.1124944171588367
Huopalahden asema,0.0023012505518769993,0.0942407788382629,20801.0,20549.0,0.04444130785648729,1.855573443359026,-0.21845325843476443,-0.22289530057352078,1.8111321355025387,0.0023012605518769992,0.0942407888382629
Pohjois-Haagan asema,0.0021057737944737724,0.08553955459624746,13454.0,13459.0,-0.07282857641306915,1.6566290657582543,-0.3969012223240161,-0.39381388328998795,1.7294576421713235,0.0021057837944737723,0.08553956459624745
Petter Wetterin tie,0.006616126939863387,0.19521545085607006,45805.0,46752.0,2.6330102066786867,4.1642535462144945,0.38885760165600036,0.4087802456774791,1.5312433395358078,0.006616136939863387,0.19521546085607006
Huopalahdentie,0.005829397883094327,0.1730464402549661,84510.0,86918.0,2.16103785219312,3.657382341267825,1.328945861127007,1.3770617398085963,1.4963444890747049,0.005829407883094327,0.1730464502549661
Kaivonkatsojanpuisto,0.001317590992516873,0.05210616842602273,1582.0,1589.0,-0.5456730577550463,0.8922097130648499,-0.6852548669807734,-0.6799638941284175,1.437882770819896,0.0013176009925168729,0.052106178426022734
Kauppakeskus Kaari,0.0021646722560748617,0.07064404798039414,4782.0,4758.0,-0.03749437163409916,1.3160589103047369,-0.6075315126258524,-0.6035688322626228,1.353553281938836,0.0021646822560748616,0.07064405798039414
Voikukantie,0.004114546753731328,0.1215136083100064,14168.0,14026.0,1.1322690299996472,2.4791381204384475,-0.37955919888357437,-0.3801452180713368,1.3468690904388003,0.004114556753731328,0.1215136183100064
Kurkimäentie,0.0011107245291235401,0.038121255044798935,1290.0,1277.0,-0.6697758234426671,0.5724593180579245,-0.6923471230656599,-0.6874852760476753,1.2422351415005917,0.00111073452912354,0.03812126504479894
Viikin normaalikoulu,0.0027625896218477827,0.07890683844277314,12387.0,14757.0,0.3212065870804482,1.5049789588015936,-0.4228171032917351,-0.362523005946409,1.1837723717211455,0.0027625996218477826,0.07890684844277314
Karviaistie,0.0008559763532235845,0.025957528132834192,727.0,726.0,-0.8226036557769435,0.2943484439441842,-0.7060215757224789,-0.7007682293730312,1.1169520997211277,0.0008559863532235846,0.025957538132834194
