epoch,train_huber,validation_huber,validation_wmape,train_mse,validation_mse
1,0.0920280076323017,0.2626788264938763,0.8871204385509138,0.0920280076323017,0.2626788264938763
2,0.09130406535921558,0.26204694701092585,0.880212284184711,0.09130406535921558,0.26204694701092585
3,0.09121224650692555,0.26196396883044926,0.8758073645424238,0.09121224650692555,0.26196396883044926
4,0.09123424711006303,0.26186911655323847,0.8712607524917914,0.09123424711006303,0.26186911655323847
5,0.09108429792667588,0.2617602209959711,0.8831646904327091,0.09108429792667588,0.2617602209959711
6,0.09110167436301708,0.26178635337523054,0.8775396140932582,0.09110167436301708,0.26178635337523054
7,0.09101448941134638,0.2618334751044001,0.884459993213218,0.09101448941134638,0.2618334751044001
8,0.09096583784107239,0.2617263144680432,0.8901239549780979,0.09096583784107239,0.2617263144680432
9,0.09097174332747536,0.26177503381456646,0.8801604198467554,0.09097174332747536,0.26177503381456646
10,0.09102075396766586,0.2618041975157602,0.8856176754680563,0.09102075396766586,0.2618041975157602
11,0.09097243569070293,0.2616026561175074,0.8899230283187621,0.09097243569070293,0.2616026561175074
12,0.09093217191196257,0.2618132031389645,0.8788306962475871,0.09093217191196257,0.2618132031389645
13,0.09096579307750348,0.2617640697530338,0.8879389755029831,0.09096579307750348,0.2617640697530338
14,0.09092894004237267,0.26174783280917574,0.8897634737593082,0.09092894004237267,0.26174783280917574
