epoch,train_huber,validation_huber,validation_wmape,train_mse,validation_mse
1,0.005093722557273483,0.005795291924316969,0.2311171289056551,0.005093722557273483,0.005795291924316969
2,0.004403203601888832,0.005750283798468965,0.22431189041184393,0.004403203601888832,0.005750283798468965
3,0.004387168040979774,0.005756984597870282,0.22515969190081542,0.004387168040979774,0.005756984597870282
4,0.004330917908396992,0.005758580568778727,0.216600751648306,0.004330917908396992,0.005758580568778727
5,0.004308066010707989,0.005751634997847889,0.21612132571161796,0.004308066010707989,0.005751634997847889
6,0.004292278230423108,0.005764566345273384,0.21660471052291805,0.004292278230423108,0.005764566345273384
7,0.004260073737016008,0.0057642423281712195,0.2160178469824964,0.004260073737016008,0.0057642423281712195
8,0.004264505657051961,0.00574069403644119,0.22135267971782313,0.004264505657051961,0.00574069403644119
9,0.004237500125459666,0.0057623327842780524,0.21611202199910362,0.004237500125459666,0.0057623327842780524
10,0.004249662962637001,0.005761342805011996,0.21993868575015985,0.004249662962637001,0.005761342805011996
11,0.004236096014914614,0.00575730690200414,0.22221113359109995,0.004236096014914614,0.00575730690200414
12,0.004190271980346992,0.005746678349428943,0.21974721434843164,0.004190271980346992,0.005746678349428943
13,0.0042036192072930955,0.005745023888136659,0.2180777086463948,0.0042036192072930955,0.005745023888136659
14,0.004190463290151749,0.00574882870673069,0.22159753209452496,0.004190463290151749,0.00574882870673069
