epoch,train_huber,validation_huber,validation_wmape,train_mse,validation_mse
1,0.09189441313426341,0.2617880010179111,0.885405241655629,0.09189441313426341,0.2617880010179111
2,0.09106473312262565,0.26109758551631657,0.8797226265760192,0.09106473312262565,0.26109758551631657
3,0.0909693531331516,0.2610625667231424,0.8733052415152399,0.0909693531331516,0.2610625667231424
4,0.09099547228505535,0.26098563841411043,0.8702368599669379,0.09099547228505535,0.26098563841411043
5,0.09084875797552447,0.26088619232177734,0.8826632126888122,0.09084875797552447,0.26088619232177734
6,0.09086692176999585,0.26094346174171995,0.8759022836246995,0.09086692176999585,0.26094346174171995
7,0.09078348331874417,0.260985683117594,0.8813735813651179,0.09078348331874417,0.260985683117594
8,0.09073497367001349,0.2608681342431477,0.8875730072557817,0.09073497367001349,0.2608681342431477
9,0.09074299470070869,0.2609388551541737,0.8792974303066823,0.09074299470070869,0.2609388551541737
10,0.09078982754820777,0.2609604352286884,0.8849590742076653,0.09078982754820777,0.2609604352286884
11,0.09074318913682815,0.26073005156857626,0.8889650907928394,0.09074318913682815,0.26073005156857626
12,0.09070343169714173,0.260990709066391,0.8782497848425918,0.09070343169714173,0.260990709066391
13,0.09073939745224291,0.26093703295503345,0.8865550692912015,0.09073939745224291,0.26093703295503345
14,0.09070066542875382,0.26092265439885004,0.8876430284672976,0.09070066542875382,0.26092265439885004
