epoch,train_huber,validation_huber,validation_wmape,train_mse,validation_mse
1,0.09234851706893213,0.2616395652294159,0.8778145477416237,0.09234851706893213,0.2616395652294159
2,0.09099143857677136,0.26081124799592154,0.8798816034271694,0.09099143857677136,0.26081124799592154
3,0.09086870699520072,0.2607341653534344,0.8749469607934849,0.09086870699520072,0.2607341653534344
4,0.09087464477746718,0.26060147902795244,0.8723604756626832,0.09087464477746718,0.26060147902795244
5,0.0908884818875982,0.26067004246371134,0.8738844171842158,0.0908884818875982,0.26067004246371134
6,0.09076345567741702,0.26058053225278854,0.8806863545521926,0.09076345567741702,0.26058053225278854
7,0.09071137377571675,0.2605720896806036,0.882796168247203,0.09071137377571675,0.2605720896806036
8,0.09079252021206964,0.26043431567294256,0.8829374239023633,0.09079252021206964,0.26043431567294256
9,0.09071653528559592,0.26066175209624426,0.8799306967919993,0.09071653528559592,0.26066175209624426
10,0.09068023815991418,0.2605459030185427,0.8940629866692571,0.09068023815991418,0.2605459030185427
11,0.09064960792180031,0.26049876851694925,0.8994316382533107,0.09064960792180031,0.26049876851694925
12,0.0906433764124109,0.2604427805968693,0.8827976642045345,0.0906433764124109,0.2604427805968693
13,0.09061529343166659,0.26050797743456705,0.8957461799206079,0.09061529343166659,0.26050797743456705
14,0.09062639473667068,0.2603928766080311,0.8860485597998214,0.09062639473667068,0.2603928766080311
