epoch,train_huber,validation_huber,validation_wmape,train_mse,validation_mse
1,0.00801384388168733,0.031201534438878298,0.2542258262623705,0.00801384388168733,0.031201534438878298
2,0.007209569273982197,0.03114345796140177,0.2611562416229672,0.007209569273982197,0.03114345796140177
3,0.0071638371596383235,0.031147621904632876,0.2524629791795574,0.0071638371596383235,0.031147621904632876
4,0.007158739678186154,0.031172776129096746,0.2694905814119456,0.007158739678186154,0.031172776129096746
5,0.007109106028257238,0.031137089245021343,0.25314938493384076,0.007109106028257238,0.031137089245021343
6,0.0071148426692572335,0.031138464076710597,0.25435227432419144,0.0071148426692572335,0.031138464076710597
7,0.007088788386975084,0.03122750935809953,0.27164369213401884,0.007088788386975084,0.03122750935809953
8,0.007062749300647767,0.03113764870379652,0.2587562012781841,0.007062749300647767,0.03113764870379652
9,0.007061837212888584,0.03115374448576144,0.2585088896861144,0.007061837212888584,0.03115374448576144
10,0.007082889252717817,0.031135686007993563,0.2523293758585015,0.007082889252717817,0.031135686007993563
11,0.007036323644100658,0.03119504139093416,0.2712380752415988,0.007036323644100658,0.03119504139093416
12,0.007020811478967869,0.031150249631277153,0.2505548919501792,0.007020811478967869,0.031150249631277153
13,0.007026913626525071,0.03115317305283887,0.2501421204056725,0.007026913626525071,0.03115317305283887
14,0.007043891321612342,0.031190473918936083,0.248399284945227,0.007043891321612342,0.031190473918936083
15,0.007038261972352742,0.0311421868391335,0.2504469159167123,0.007038261972352742,0.0311421868391335
16,0.007014417068867553,0.031137024451579367,0.2535965369785866,0.007014417068867553,0.031137024451579367
17,0.0070174471212310656,0.03115948402721967,0.24941574108385525,0.0070174471212310656,0.03115948402721967
18,0.007004542306305901,0.031138096004724503,0.2531542503388166,0.007004542306305901,0.031138096004724503
19,0.0070169399447378615,0.031153340956994464,0.2504552161434025,0.0070169399447378615,0.031153340956994464
20,0.007003774115395161,0.031142046076378653,0.2517652939673765,0.007003774115395161,0.031142046076378653
21,0.007007828033003476,0.031143127208841697,0.25037633365215384,0.007007828033003476,0.031143127208841697
22,0.007004133724201951,0.031133406130330905,0.2530416189336524,0.007004133724201951,0.031133406130330905
23,0.007004635108094062,0.031130735762417316,0.2552009338125263,0.007004635108094062,0.031130735762417316
24,0.0070212112848586855,0.031138398684561253,0.2514959303124075,0.0070212112848586855,0.031138398684561253
