epoch,train_huber,validation_huber,validation_wmape,train_mse,validation_mse
1,0.005161221828236575,0.005830851000999766,0.2231472671650941,0.005161221828236575,0.005830851000999766
2,0.004382734870417944,0.005774827707292778,0.23174635436437063,0.004382734870417944,0.005774827707292778
3,0.0043328934341609,0.005764240016495543,0.21800112467945146,0.0043328934341609,0.005764240016495543
4,0.004304310432710354,0.005783746401513261,0.23480301202139794,0.004304310432710354,0.005783746401513261
5,0.004257056373922575,0.005756012346994664,0.21929921992250773,0.004257056373922575,0.005756012346994664
6,0.004262769745940703,0.005753087794541248,0.22087543504090398,0.004262769745940703,0.005753087794541248
7,0.0042218904822103435,0.005811285044598792,0.23835392867570468,0.0042218904822103435,0.005811285044598792
8,0.004207519712039239,0.005763300029294831,0.22809878730166674,0.004207519712039239,0.005763300029294831
9,0.004199368622897553,0.005757042772269675,0.22476595068830493,0.004199368622897553,0.005757042772269675
10,0.004234680091030896,0.005758052276048277,0.21607742872402433,0.004234680091030896,0.005758052276048277
11,0.004179712545479678,0.005793859733135572,0.23563907593100375,0.004179712545479678,0.005793859733135572
12,0.004182209336807231,0.005750194873793849,0.21763403181959007,0.004182209336807231,0.005750194873793849
13,0.004190848268110365,0.005777813361159393,0.21570857128356732,0.004190848268110365,0.005777813361159393
14,0.004183998099535764,0.005878246555637036,0.21899079004242025,0.004183998099535764,0.005878246555637036
15,0.004180866089882329,0.005759800218843988,0.21689257244639895,0.004180866089882329,0.005759800218843988
16,0.004166264859621504,0.005765478708781302,0.21551636315271847,0.004166264859621504,0.005765478708781302
17,0.004153481145734868,0.005771089228801429,0.2160071649275117,0.004153481145734868,0.005771089228801429
18,0.004152040567151421,0.005751738208346069,0.21862523202943288,0.004152040567151421,0.005751738208346069
19,0.004162405816567761,0.0057646072236821055,0.21626453269399434,0.004162405816567761,0.0057646072236821055
20,0.004152745333304929,0.00575196766294539,0.21806000782632373,0.004152745333304929,0.00575196766294539
