epoch,train_huber,validation_huber,validation_wmape,train_mse,validation_mse
1,0.005068391326799869,0.005784851382486522,0.2269576723538384,0.005068391326799869,0.005784851382486522
2,0.004381066619140667,0.0057860093324312144,0.2242421120931687,0.004381066619140667,0.0057860093324312144
3,0.0043540377434598465,0.005784746991204364,0.21564989076068214,0.0043540377434598465,0.005784746991204364
4,0.004324511175171563,0.005782702322384077,0.2243022637331213,0.004324511175171563,0.005782702322384077
5,0.004284050925860121,0.005880153222408678,0.22076068344637395,0.004284050925860121,0.005880153222408678
6,0.00426780877094115,0.0057703414432970545,0.21841431977177322,0.00426780877094115,0.0057703414432970545
7,0.004253825528599742,0.005770866043998727,0.21846619918140342,0.004253825528599742,0.005770866043998727
8,0.004233417598786013,0.005761051966276552,0.22273411621233516,0.004233417598786013,0.005761051966276552
9,0.004214104706226217,0.0057813923340290785,0.21580084264194876,0.004214104706226217,0.0057813923340290785
10,0.004224107248686074,0.005756475463775652,0.21621066380703893,0.004224107248686074,0.005756475463775652
11,0.004201902721580418,0.005807464293736432,0.23704088541335624,0.004201902721580418,0.005807464293736432
12,0.004191012346118148,0.005787696090659925,0.2166096765577671,0.004191012346118148,0.005787696090659925
13,0.004211474999582635,0.005804897385782429,0.23824861818074575,0.004211474999582635,0.005804897385782429
14,0.004185664995137842,0.005750245165212878,0.22086256326820497,0.004185664995137842,0.005750245165212878
