epoch,train_huber,validation_huber,validation_wmape,train_mse,validation_mse
1,0.09189915020138986,0.26180858590773176,0.8855027902574618,0.09189915020138986,0.26180858590773176
2,0.09107569533009682,0.26112353056669235,0.8799490288909816,0.09107569533009682,0.26112353056669235
3,0.09098124023406737,0.261090093425342,0.8733447551771243,0.09098124023406737,0.261090093425342
4,0.09100755508388242,0.26101189106702805,0.8702914185826176,0.09100755508388242,0.26101189106702805
5,0.0908609029626654,0.26091290903942926,0.8827558897922287,0.0908609029626654,0.26091290903942926
6,0.09087914252473463,0.260969309934548,0.8759438384786838,0.09087914252473463,0.260969309934548
7,0.0907956767947443,0.26101195492914747,0.8811541015997839,0.0907956767947443,0.26101195492914747
8,0.09074723612396948,0.26089411441768917,0.8874118222274975,0.09074723612396948,0.26089411441768917
9,0.09075537402062647,0.2609674462250301,0.8792828562904956,0.09075537402062647,0.2609674462250301
10,0.09080216811308937,0.26098813648734775,0.8849452460850752,0.09080216811308937,0.26098813648734775
11,0.0907555495298678,0.2607534910951342,0.8889699446081123,0.0907555495298678,0.2607534910951342
12,0.09071583102547354,0.26101804843970705,0.8782380549213884,0.09071583102547354,0.26101804843970705
13,0.09075157870087892,0.2609648087194988,0.8865197727702467,0.09075157870087892,0.2609648087194988
14,0.09071306145239261,0.26095077289002283,0.8875627951210154,0.09071306145239261,0.26095077289002283
