epoch,train_huber,validation_huber,validation_wmape,train_mse,validation_mse
1,0.09187214118578742,0.261704010622842,0.8850298013999816,0.09187214118578742,0.261704010622842
2,0.09102951518950923,0.26098912954330444,0.8797982377211935,0.09102951518950923,0.26098912954330444
3,0.0909313764423132,0.26094656118324827,0.8736065462510437,0.0909313764423132,0.26094656118324827
4,0.09095789618309467,0.26087149658373426,0.870808128049308,0.09095789618309467,0.26087149658373426
5,0.0908129216442185,0.26077982038259506,0.8830761882021331,0.0908129216442185,0.26077982038259506
6,0.09083183277999202,0.2608287249292646,0.8762799786938343,0.09083183277999202,0.2608287249292646
7,0.09074740634570198,0.26087515694754465,0.8821208410800748,0.09074740634570198,0.26087515694754465
8,0.09069984532412022,0.26075869905097143,0.8892429243369286,0.09069984532412022,0.26075869905097143
9,0.09070790985659245,0.26082849289689747,0.8801457645959833,0.09070790985659245,0.26082849289689747
10,0.09075475345936514,0.26084451909576145,0.885604560254322,0.09075475345936514,0.26084451909576145
11,0.0907092274677369,0.26061577669211794,0.8898148184053359,0.0907092274677369,0.26061577669211794
12,0.0906690965376554,0.2608784320099013,0.8788300103421605,0.0906690965376554,0.2608784320099013
13,0.09070500551212218,0.26082717946597506,0.8873411824829244,0.09070500551212218,0.26082717946597506
14,0.09066680344122072,0.2608110713107245,0.8884916540078104,0.09066680344122072,0.2608110713107245
