epoch,train_huber,validation_huber,validation_wmape,train_mse,validation_mse
1,0.0926338060488624,0.2623763307929039,0.881357176449492,0.0926338060488624,0.2623763307929039
2,0.09130547063485268,0.2620202898979187,0.8917566337573366,0.09130547063485268,0.2620202898979187
3,0.09118631614312049,0.2619444153138569,0.880431005726498,0.09118631614312049,0.2619444153138569
4,0.09121152169762119,0.26188636464732035,0.9033417795862771,0.09121152169762119,0.26188636464732035
5,0.09111465838166975,0.2617843619414738,0.8930640470092687,0.09111465838166975,0.2617843619414738
6,0.09107917024483604,0.26181943182434353,0.8895318707103171,0.09107917024483604,0.26181943182434353
7,0.09109959456949465,0.2619136625102588,0.8955997699144612,0.09109959456949465,0.2619136625102588
8,0.09100661288586355,0.2618050937141691,0.9057146219448953,0.09100661288586355,0.2618050937141691
9,0.09098643509130325,0.26181441971233915,0.890651756319,0.09098643509130325,0.26181441971233915
10,0.09104063707373795,0.261798012469496,0.8898728862390877,0.09104063707373795,0.261798012469496
11,0.09099680786171267,0.26184719055891037,0.903739230746438,0.09099680786171267,0.26184719055891037
12,0.09101963638057632,0.26173652708530426,0.8833112800156356,0.09101963638057632,0.26173652708530426
13,0.09096225369120797,0.26172603028161184,0.8848574248465133,0.09096225369120797,0.26172603028161184
14,0.09092783104748495,0.26176388029541287,0.8806182359419025,0.09092783104748495,0.26176388029541287
