epoch,train_huber,validation_huber,validation_wmape,train_mse,validation_mse
1,0.09221661607584646,0.2625777114714895,0.8688531177605873,0.09221661607584646,0.2625777114714895
2,0.09123356183690409,0.2617791273764202,0.8948517447617236,0.09123356183690409,0.2617791273764202
3,0.09104019235218724,0.2614919937082699,0.8765842715672338,0.09104019235218724,0.2614919937082699
4,0.0910102293616341,0.2612575430955206,0.8982649718860608,0.0910102293616341,0.2612575430955206
5,0.09088158328086138,0.2610923924616405,0.8916117592967895,0.09088158328086138,0.2610923924616405
6,0.09083692861660835,0.26102903272424427,0.8857304656531716,0.09083692861660835,0.26102903272424427
7,0.09084093985297988,0.26114054024219513,0.896101312656922,0.09084093985297988,0.26114054024219513
8,0.09074356118517538,0.2609228843024799,0.9005847502428321,0.09074356118517538,0.2609228843024799
9,0.09072045807636553,0.26096843076603754,0.8909156548504715,0.09072045807636553,0.26096843076603754
10,0.09076723486425416,0.26089935324021746,0.8846256895041986,0.09076723486425416,0.26089935324021746
11,0.09072098874997708,0.2608997779233115,0.8986571775674881,0.09072098874997708,0.2608997779233115
12,0.09073929650889288,0.2607883055295263,0.8814967429492446,0.09073929650889288,0.2607883055295263
13,0.09068247333409325,0.2608082592487335,0.8781666433676231,0.09068247333409325,0.2608082592487335
14,0.09065455973388688,0.2608677010451044,0.8711301836314146,0.09065455973388688,0.2608677010451044
