epoch,train_huber,validation_huber,validation_wmape,train_mse,validation_mse
1,0.09246659230801367,0.26265755934374674,0.8806519684730659,0.09246659230801367,0.26265755934374674
2,0.09126198448000415,0.26178059939827236,0.8819062850650541,0.09126198448000415,0.26178059939827236
3,0.09109554277552713,0.261519339467798,0.8764607759412042,0.09109554277552713,0.261519339467798
4,0.09106525580488867,0.2612676237310682,0.8735313178770875,0.09106525580488867,0.2612676237310682
5,0.0910533287472302,0.2612352115767343,0.874354172197226,0.0910533287472302,0.2612352115767343
6,0.09090738121660487,0.261074817606381,0.881551241288402,0.09090738121660487,0.261074817606381
7,0.09083847479233818,0.2610058518392699,0.8831060079393123,0.09083847479233818,0.2610058518392699
8,0.0909043642421884,0.2608250081539154,0.8839120617590335,0.0909043642421884,0.2608250081539154
9,0.09081469878794686,0.2610046714544296,0.8808529565540253,0.09081469878794686,0.2610046714544296
10,0.09076864470637613,0.2608494311571121,0.8944810057977507,0.09076864470637613,0.2608494311571121
11,0.09072690162687533,0.2607730658990996,0.8999319849711005,0.09072690162687533,0.2607730658990996
12,0.09071495786549584,0.26070537843874525,0.8831958336419335,0.09071495786549584,0.26070537843874525
13,0.09068240279391888,0.26075438197169987,0.8962809541416555,0.09068240279391888,0.26075438197169987
14,0.09068970790793819,0.26062912174633573,0.8863940153381941,0.09068970790793819,0.26062912174633573
