epoch,train_huber,validation_huber,validation_wmape,train_mse,validation_mse
1,0.0924357159603988,0.26138096515621456,0.8786779507471328,0.0924357159603988,0.26138096515621456
2,0.09102802735663229,0.26097188357795986,0.891309071013651,0.09102802735663229,0.26097188357795986
3,0.09090856486751188,0.26094101475817816,0.879544384665462,0.09090856486751188,0.26094101475817816
4,0.09093804122699846,0.26089250828538624,0.9023739798784958,0.09093804122699846,0.26089250828538624
5,0.09084348176275531,0.2607892858130591,0.891947055465024,0.09084348176275531,0.2607892858130591
6,0.0908099542702398,0.2608537865536554,0.8877389975434273,0.0908099542702398,0.2608537865536554
7,0.09083108796227363,0.26098996294396265,0.8961649967190736,0.09083108796227363,0.26098996294396265
8,0.09073869301186453,0.26083781676633017,0.9050933187252619,0.09073869301186453,0.26083781676633017
9,0.09072050416181164,0.2608776869518416,0.8904518334909919,0.09072050416181164,0.2608776869518416
10,0.09077819163400319,0.26087006607225965,0.8899142543229129,0.09077819163400319,0.26087006607225965
11,0.0907339564254207,0.26094361394643784,0.9052444502559913,0.0907339564254207,0.26094361394643784
12,0.09075719316399866,0.26079145606075016,0.8821774963769278,0.09075719316399866,0.26079145606075016
13,0.09069959452796367,0.2607712894678116,0.8828424943557047,0.09069959452796367,0.2607712894678116
14,0.09066564751969229,0.260821989604405,0.8795725153951335,0.09066564751969229,0.260821989604405
