epoch,train_huber,validation_huber,validation_wmape,train_mse,validation_mse
1,0.005088948336760363,0.005795450631662139,0.2308967388205869,0.005088948336760363,0.005795450631662139
2,0.004402246382538109,0.005749909589732332,0.22417944302958606,0.004402246382538109,0.005749909589732332
3,0.0043860867773483116,0.00575665186624974,0.22502806042782994,0.0043860867773483116,0.00575665186624974
4,0.004330120689701289,0.005758248153142631,0.21650609333990717,0.004330120689701289,0.005758248153142631
5,0.004307501223651812,0.005751161935872265,0.2161233727933438,0.004307501223651812,0.005751161935872265
6,0.0042917358673988815,0.005764391838705966,0.21650371416730235,0.0042917358673988815,0.005764391838705966
7,0.004259691840308087,0.00576387598578419,0.2160428280405116,0.004259691840308087,0.00576387598578419
8,0.00426435845551051,0.005740422190033964,0.2212514520294592,0.00426435845551051,0.005740422190033964
9,0.0042372522903831615,0.0057618470995553905,0.21607013662756785,0.0042372522903831615,0.0057618470995553905
10,0.004249512382234717,0.005761159899910646,0.21995648122225184,0.004249512382234717,0.005761159899910646
11,0.0042358183146138945,0.005757139879278839,0.22206461113340967,0.0042358183146138945,0.005757139879278839
12,0.0041900920661001075,0.005746492800036711,0.2197381920814955,0.0041900920661001075,0.005746492800036711
13,0.004203403086003457,0.005744740815966257,0.21804094833096924,0.004203403086003457,0.005744740815966257
14,0.004190297333538652,0.005748552868941,0.22149058951246614,0.004190297333538652,0.005748552868941
