epoch,train_huber,validation_huber,validation_wmape,train_mse,validation_mse
1,0.09207355735763427,0.26190892500536783,0.8670803531169868,0.09207355735763427,0.26190892500536783
2,0.09108327263064923,0.26125649894986835,0.8945003739308548,0.09108327263064923,0.26125649894986835
3,0.09092805931164373,0.261122638625758,0.8760858902275266,0.09092805931164373,0.261122638625758
4,0.0909324257724708,0.26101022745881763,0.8977986229584825,0.0909324257724708,0.26101022745881763
5,0.09082983560379475,0.2609307382787977,0.891256184478894,0.09082983560379475,0.2609307382787977
6,0.09080527200093193,0.2609313055872917,0.8851817467088092,0.09080527200093193,0.2609313055872917
7,0.09082411241627508,0.2611036928636687,0.8964643211793243,0.09082411241627508,0.2611036928636687
8,0.09073837648235983,0.26091427356004715,0.9002068065353477,0.09073837648235983,0.26091427356004715
9,0.09072547490077634,0.26099792442151476,0.8907663130646467,0.09072547490077634,0.26099792442151476
10,0.09078096400105184,0.2609537701521601,0.8841073224972194,0.09078096400105184,0.2609537701521601
11,0.09074214497400869,0.2609855415565627,0.8985969503766483,0.09074214497400869,0.2609855415565627
12,0.09076673267108779,0.2608859379376684,0.8813098229729832,0.09076673267108779,0.2608859379376684
13,0.09071672876035014,0.26093058713844847,0.8775110682362819,0.09071672876035014,0.26093058713844847
14,0.0906940715447549,0.26101249562842505,0.8709143380586327,0.0906940715447549,0.26101249562842505
