epoch,train_huber,validation_huber,validation_wmape,train_mse,validation_mse
1,0.09207815514697183,0.2619228597198214,0.8672205305060954,0.09207815514697183,0.2619228597198214
2,0.09109405974947637,0.2612847781607083,0.8947245772426436,0.09109405974947637,0.2612847781607083
3,0.09094021673644742,0.2611518119062696,0.8762897963223519,0.09094021673644742,0.2611518119062696
4,0.09094486247387625,0.26103876743997845,0.8978143156166547,0.09094486247387625,0.26103876743997845
5,0.09084232403866706,0.260956588600363,0.8911837279323521,0.09084232403866706,0.260956588600363
6,0.09081776662459297,0.26095779133694513,0.8852014416619062,0.09081776662459297,0.26095779133694513
7,0.09083652135825926,0.2611325223531042,0.8964925442741699,0.09083652135825926,0.2611325223531042
8,0.0907507538194618,0.26094044212784084,0.9001577124501307,0.0907507538194618,0.26094044212784084
9,0.09073793918134705,0.2610243782401085,0.8906421324011041,0.09073793918134705,0.2610243782401085
10,0.09079349338407477,0.2609813096267836,0.8840916548658563,0.09079349338407477,0.2609813096267836
11,0.09075460691125162,0.2610135887350355,0.8985991773964717,0.09075460691125162,0.2610135887350355
12,0.09077913975042681,0.26091174142701284,0.8812940376964874,0.09077913975042681,0.26091174142701284
13,0.09072904258726104,0.2609572985342571,0.8774017937627437,0.09072904258726104,0.2609572985342571
14,0.0907064882377463,0.26104055238621576,0.870914738329628,0.0907064882377463,0.26104055238621576
