aggregation,graph_set,fusion_mode,graph,model,history,horizon,input_channels,hidden_dim,dropout,epochs_requested,epochs_ran,best_epoch,train_windows,validation_windows,test_windows,validation_wmape,validation_mae,validation_rmse,validation_mase,test_wmape,test_mae,test_rmse,test_mase,preprocessing_enabled,selected_residual_lag,fusion_weights,milestone,graph_source,run_dir
community,ATD,single,ATD,A3T_GCN_graph_fusion,8,1,11,64,0.1,120,14,4,15813,1704,4631,0.21651884780927436,60.2939679712342,127.72510258964164,0.5930362000897559,0.2352307557602695,49.534609112969015,152.93744171083804,0.48720987106540276,true,56,"{""ATD"": 1.0}",M3.1_single_graph,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\graphs\train,data\artifacts\experiments\stgnn_milestones_seed52\runs\m31_single_community_atd
community,DC,single,DC,A3T_GCN_graph_fusion,8,1,11,64,0.1,120,14,4,15813,1704,4631,0.2163142391442171,60.23699062989685,127.40499792470564,0.5924757853893328,0.2350937748356795,49.50576383492037,152.44268172342913,0.48692615621530927,true,56,"{""DC"": 1.0}",M3.1_single_graph,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\graphs\train,data\artifacts\experiments\stgnn_milestones_seed52\runs\m31_single_community_dc
community,DE,single,DE,A3T_GCN_graph_fusion,8,1,11,64,0.1,120,14,4,15813,1704,4631,0.21664363303372494,60.32871689218234,127.88950130498631,0.5933779816763672,0.23527934761409403,49.54484152699793,153.0683865253762,0.48731051449852936,true,56,"{""DE"": 1.0}",M3.1_single_graph,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\graphs\train,data\artifacts\experiments\stgnn_milestones_seed52\runs\m31_single_community_de
community,SD,single,SD,A3T_GCN_graph_fusion,8,1,11,64,0.1,120,14,4,15813,1704,4631,0.216600751648306,60.316775719830964,127.80573237402197,0.5932605313291077,0.23527814469942326,49.544588218675976,153.10397255620757,0.4873080230220226,true,56,"{""SD"": 1.0}",M3.1_single_graph,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\graphs\train,data\artifacts\experiments\stgnn_milestones_seed52\runs\m31_single_community_sd
community,SD+DE+DC+ATD,equal,SD+DE+DC+ATD,A3T_GCN_graph_fusion,8,1,11,64,0.1,120,14,4,15813,1704,4631,0.21650609333990717,60.29041623624533,127.69923722598804,0.5930012661238485,0.2352023081739705,49.528618654523335,152.86951626392764,0.48715095043315776,true,56,"{""SD"": 0.25, ""DE"": 0.25, ""DC"": 0.25, ""ATD"": 0.25}",M3.2_multi_graph_fusion,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\graphs\train,data\artifacts\experiments\stgnn_milestones_seed52\runs\m32_fusion_equal_community
community,SD+DE+DC+ATD,learned,SD+DE+DC+ATD,A3T_GCN_graph_fusion,8,1,11,64,0.1,120,14,4,15813,1704,4631,0.21650296085786178,60.289543934484875,127.69476065120001,0.5929926863846349,0.23520069292449458,49.52827851723495,152.86001220375644,0.4871476049289258,true,56,"{""SD"": 0.2278086245059967, ""DE"": 0.25135546922683716, ""DC"": 0.26690590381622314, ""ATD"": 0.2539300322532654}",M3.2_multi_graph_fusion,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\graphs\train,data\artifacts\experiments\stgnn_milestones_seed52\runs\m32_fusion_learned_community
station,ATD,single,ATD,A3T_GCN_graph_fusion,8,1,11,64,0.1,120,14,4,15813,1704,4631,0.8692169116869781,2.6954419885122807,6.21195513016773,1.778386590591825,0.8678911364055384,2.035183404921928,5.479482806927774,1.3427641522739004,true,56,"{""ATD"": 1.0}",M3.1_single_graph,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\graphs\train,data\artifacts\experiments\stgnn_milestones_seed52\runs\m31_single_station_atd
station,DC,single,DC,A3T_GCN_graph_fusion,8,1,11,64,0.1,120,14,4,15813,1704,4631,0.8833360577781393,2.739225466151013,6.5633490232859515,1.8072738565222541,0.8803735232713612,2.0644542956333494,5.701670312923088,1.3620763688816864,true,56,"{""DC"": 1.0}",M3.1_single_graph,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\graphs\train,data\artifacts\experiments\stgnn_milestones_seed52\runs\m31_single_station_dc
station,DE,single,DE,A3T_GCN_graph_fusion,8,1,11,64,0.1,120,14,4,15813,1704,4631,0.8702368599669379,2.698604848533698,6.243849363186851,1.7804733681496354,0.8685714997416007,2.0367788402395486,5.497167937288171,1.3438167814112016,true,56,"{""DE"": 1.0}",M3.leakage_sensitivity_leaky,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\graphs\leaky_full,data\artifacts\experiments\stgnn_milestones_seed52\runs\leakage_leaky_single_de_station
station,SD,single,SD,A3T_GCN_graph_fusion,8,1,11,64,0.1,120,14,4,15813,1704,4631,0.870808128049308,2.700376351084113,6.2456943717994395,1.7816421621338072,0.8690437499350435,2.0378862553476766,5.503934556520367,1.3445474267698876,true,56,"{""SD"": 1.0}",M3.1_single_graph,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\graphs\train,data\artifacts\experiments\stgnn_milestones_seed52\runs\m31_single_station_sd
station,SD+DE+DC+ATD,equal,SD+DE+DC+ATD,A3T_GCN_graph_fusion,8,1,11,64,0.1,120,14,4,15813,1704,4631,0.8712607524917914,2.7017799396600974,6.253122078681695,1.7825682154908733,0.8700094573926548,2.040150815624072,5.514646765873766,1.3460415281626432,true,56,"{""SD"": 0.25, ""DE"": 0.25, ""DC"": 0.25, ""ATD"": 0.25}",M3.2_multi_graph_fusion,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\graphs\train,data\artifacts\experiments\stgnn_milestones_seed52\runs\m32_fusion_equal_station
station,SD+DE+DC+ATD,learned,SD+DE+DC+ATD,A3T_GCN_graph_fusion,8,1,11,64,0.1,120,14,4,15813,1704,4631,0.8702564025383147,2.6986654500553025,6.234921500738258,1.780513351548963,0.8688578050526792,2.0374502191641692,5.49731862753192,1.3442597407781032,true,56,"{""SD"": 0.30046069622039795, ""DE"": 0.27306103706359863, ""DC"": 0.11084431409835815, ""ATD"": 0.31563401222229004}",M3.2_multi_graph_fusion,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\graphs\train,data\artifacts\experiments\stgnn_milestones_seed52\runs\m32_fusion_learned_station
