epoch,train_huber,validation_huber,validation_wmape,train_mse,validation_mse
1,0.09221014350412353,0.26256060174533297,0.868741362132759,0.09221014350412353,0.26256060174533297
2,0.09122455198197596,0.2617479371173041,0.8947567408924253,0.09122455198197596,0.2617479371173041
3,0.09102938552537272,0.26145808718034197,0.8764665109608432,0.09102938552537272,0.26145808718034197
4,0.09099873419730894,0.26122389414480757,0.8983536754344001,0.09099873419730894,0.26122389414480757
5,0.09086995379578683,0.2610596450311797,0.8916535588958008,0.09086995379578683,0.2610596450311797
6,0.09082506825366328,0.26099605751889093,0.8858198347375382,0.09082506825366328,0.26099605751889093
7,0.09082900288124238,0.26110529580286573,0.8960289121801582,0.09082900288124238,0.26110529580286573
8,0.09073146474697898,0.2608892342873982,0.9005846363828481,0.09073146474697898,0.2608892342873982
9,0.09070810825834351,0.26093341410160065,0.890848718052199,0.09070810825834351,0.26093341410160065
10,0.09075442908872519,0.26086252076285227,0.8844636068427204,0.09075442908872519,0.26086252076285227
11,0.09070799559835464,0.2608607571039881,0.8984689845538499,0.09070799559835464,0.2608607571039881
12,0.09072593533464017,0.2607495593173163,0.8813697235954351,0.09072593533464017,0.2607495593173163
13,0.09066869396596186,0.26076785368578775,0.8781330693889342,0.09066869396596186,0.26076785368578775
14,0.09064024470506175,0.2608253274645124,0.8709992118378334,0.09064024470506175,0.2608253274645124
