experiment_id,rq,aggregation,graph_set,description,model,config,n_nodes,n_train_steps,n_validation_steps,n_test_steps,validation_wmape,validation_mae,validation_rmse,validation_mase,test_wmape,test_mae,test_rmse,test_mase,preprocessing_enabled,selected_residual_lag
RQ1_DC_STATION,RQ1,station,DC,Functional baseline: DC only,graph_propagation,"{""alpha"": 0.1}",449,15821,1712,4639,0.6520169386772507,2.0155492214355784,4.433559595927913,1.3298099990114087,0.6727998891534144,1.5763602973594613,4.598644194993576,1.0400439062362092,True,56
RQ1_SD_STATION,RQ1,station,SD,Geometric baseline: SD only,graph_propagation,"{""alpha"": 0.2}",449,15821,1712,4639,0.6756203797184405,2.0885134258783093,4.545038202917429,1.377949993612358,0.6933817923144322,1.6245833953566242,4.712982292403705,1.0718603249165028,True,56
RQ1_DE_DC_STATION,RQ1,station,DE+DC,Functional fusion: DE + DC,graph_propagation,"{""alpha"": 0.5}",449,15821,1712,4639,0.7493018098654961,2.316281356982121,10.606489125528514,1.5282256946544084,0.8014173543646322,1.8777091367017105,37.482056502256064,1.2388664879354943,True,56
RQ1_DE_STATION,RQ1,station,DE,Functional baseline: DE only,graph_propagation,"{""alpha"": 0.75}",449,15821,1712,4639,0.8236719542766404,2.5461782780192173,9.246855040604231,1.679906051098057,0.8628791265031215,2.0217131696488324,26.067389024905225,1.3338768210369882,True,56
RQ1_SD_STATION,RQ1,station,SD,Geometric baseline: SD only,lagged_linear,"{""lags"": [1, 8, 56], ""max_samples"": 300000}",449,15821,1712,4639,0.5981801624367697,1.8491261333234215,3.526296109997488,1.2200081225381199,0.6078302078890315,1.4241372846503748,3.173541667874258,0.9396108916378336,True,56
RQ1_DE_STATION,RQ1,station,DE,Functional baseline: DE only,lagged_linear,"{""lags"": [1, 8, 56], ""max_samples"": 300000}",449,15821,1712,4639,0.5981801624367697,1.8491261333234215,3.526296109997488,1.2200081225381199,0.6078302078890315,1.4241372846503748,3.173541667874258,0.9396108916378336,True,56
RQ1_DC_STATION,RQ1,station,DC,Functional baseline: DC only,lagged_linear,"{""lags"": [1, 8, 56], ""max_samples"": 300000}",449,15821,1712,4639,0.5981801624367697,1.8491261333234215,3.526296109997488,1.2200081225381199,0.6078302078890315,1.4241372846503748,3.173541667874258,0.9396108916378336,True,56
RQ1_DE_DC_STATION,RQ1,station,DE+DC,Functional fusion: DE + DC,lagged_linear,"{""lags"": [1, 8, 56], ""max_samples"": 300000}",449,15821,1712,4639,0.5981801624367697,1.8491261333234215,3.526296109997488,1.2200081225381199,0.6078302078890315,1.4241372846503748,3.173541667874258,0.9396108916378336,True,56
RQ1_SD_STATION,RQ1,station,SD,Geometric baseline: SD only,seasonal_naive,"{""seasonal_lag"": 8}",449,15821,1712,4639,0.962676784740495,2.9758773566744297,10.022118498658342,1.9634109763485044,0.9694537946704131,2.271416057998848,7.768468572530685,1.4986246695035077,True,56
RQ1_DE_STATION,RQ1,station,DE,Functional baseline: DE only,seasonal_naive,"{""seasonal_lag"": 8}",449,15821,1712,4639,0.962676784740495,2.9758773566744297,10.022118498658342,1.9634109763485044,0.9694537946704131,2.271416057998848,7.768468572530685,1.4986246695035077,True,56
RQ1_DC_STATION,RQ1,station,DC,Functional baseline: DC only,seasonal_naive,"{""seasonal_lag"": 8}",449,15821,1712,4639,0.962676784740495,2.9758773566744297,10.022118498658342,1.9634109763485044,0.9694537946704131,2.271416057998848,7.768468572530685,1.4986246695035077,True,56
RQ1_DE_DC_STATION,RQ1,station,DE+DC,Functional fusion: DE + DC,seasonal_naive,"{""seasonal_lag"": 8}",449,15821,1712,4639,0.962676784740495,2.9758773566744297,10.022118498658342,1.9634109763485044,0.9694537946704131,2.271416057998848,7.768468572530685,1.4986246695035077,True,56
RQ1_SD_STATION,RQ1,station,SD,Geometric baseline: SD only,tree_lagged,"{""lags"": [1, 8, 56], ""max_depth"": 8, ""n_estimators"": 300, ""max_samples"": 300000}",449,15821,1712,4639,0.5984702029486539,1.8500227218830667,3.5458459018597366,1.220599669704984,0.6083328696512882,1.4253150138055017,3.1940303667938865,0.9403879284821631,True,56
RQ1_DE_STATION,RQ1,station,DE,Functional baseline: DE only,tree_lagged,"{""lags"": [1, 8, 56], ""max_depth"": 8, ""n_estimators"": 300, ""max_samples"": 300000}",449,15821,1712,4639,0.598470202948654,1.8500227218830672,3.5458459018597366,1.2205996697049843,0.6083328696512882,1.4253150138055017,3.1940303667938865,0.9403879284821631,True,56
RQ1_DC_STATION,RQ1,station,DC,Functional baseline: DC only,tree_lagged,"{""lags"": [1, 8, 56], ""max_depth"": 8, ""n_estimators"": 300, ""max_samples"": 300000}",449,15821,1712,4639,0.5984702029486539,1.8500227218830667,3.5458459018597366,1.220599669704984,0.6083328696512882,1.4253150138055017,3.1940303667938865,0.9403879284821631,True,56
RQ1_DE_DC_STATION,RQ1,station,DE+DC,Functional fusion: DE + DC,tree_lagged,"{""lags"": [1, 8, 56], ""max_depth"": 8, ""n_estimators"": 300, ""max_samples"": 300000}",449,15821,1712,4639,0.5984702029486539,1.8500227218830667,3.5458459018597366,1.220599669704984,0.6083328696512882,1.4253150138055017,3.1940303667938865,0.9403879284821631,True,56
RQ2_SD_DC_STATION,RQ2,station,SD+DC,Two-view fusion: SD + DC,graph_propagation,"{""alpha"": 0.1}",449,15821,1712,4639,0.6533819768218245,2.019768899493494,4.3475768848703,1.33259403921958,0.6730643417696003,1.576979905970296,4.5502337863228055,1.0404527088183535,True,56
RQ2_ALL_STATION,RQ2,station,SD+DE+DC+ATD,All-view fusion: SD + DE + DC + ATD,graph_propagation,"{""alpha"": 0.3}",449,15821,1712,4639,0.7006449404415366,2.1658706705911968,8.43338112324828,1.4289884085620561,0.7407998303329394,1.7356831647176327,21.917644284020113,1.1451612309985193,True,56
RQ2_DE_DC_STATION,RQ2,station,DE+DC,Two-view fusion: DE + DC,graph_propagation,"{""alpha"": 0.5}",449,15821,1712,4639,0.7493018098654961,2.316281356982121,10.606489125528514,1.5282256946544084,0.8014173543646322,1.8777091367017105,37.482056502256064,1.2388664879354943,True,56
RQ2_SD_DE_STATION,RQ2,station,SD+DE,Two-view fusion: SD + DE,graph_propagation,"{""alpha"": 0.5}",449,15821,1712,4639,0.7546187973782847,2.332717509796685,12.149223248498794,1.5390698656255937,0.809988629817688,1.8977915096921854,42.577801934859295,1.2521163456529798,True,56
RQ2_SD_DE_STATION,RQ2,station,SD+DE,Two-view fusion: SD + DE,lagged_linear,"{""lags"": [1, 8, 56], ""max_samples"": 300000}",449,15821,1712,4639,0.5981801624367697,1.8491261333234215,3.526296109997488,1.2200081225381199,0.6078302078890315,1.4241372846503748,3.173541667874258,0.9396108916378336,True,56
RQ2_SD_DC_STATION,RQ2,station,SD+DC,Two-view fusion: SD + DC,lagged_linear,"{""lags"": [1, 8, 56], ""max_samples"": 300000}",449,15821,1712,4639,0.5981801624367697,1.8491261333234215,3.526296109997488,1.2200081225381199,0.6078302078890315,1.4241372846503748,3.173541667874258,0.9396108916378336,True,56
RQ2_DE_DC_STATION,RQ2,station,DE+DC,Two-view fusion: DE + DC,lagged_linear,"{""lags"": [1, 8, 56], ""max_samples"": 300000}",449,15821,1712,4639,0.5981801624367697,1.8491261333234215,3.526296109997488,1.2200081225381199,0.6078302078890315,1.4241372846503748,3.173541667874258,0.9396108916378336,True,56
RQ2_ALL_STATION,RQ2,station,SD+DE+DC+ATD,All-view fusion: SD + DE + DC + ATD,lagged_linear,"{""lags"": [1, 8, 56], ""max_samples"": 300000}",449,15821,1712,4639,0.5981801624367697,1.8491261333234215,3.526296109997488,1.2200081225381199,0.6078302078890315,1.4241372846503748,3.173541667874258,0.9396108916378336,True,56
RQ2_SD_DE_STATION,RQ2,station,SD+DE,Two-view fusion: SD + DE,seasonal_naive,"{""seasonal_lag"": 8}",449,15821,1712,4639,0.962676784740495,2.9758773566744297,10.022118498658342,1.9634109763485044,0.9694537946704131,2.271416057998848,7.768468572530685,1.4986246695035077,True,56
RQ2_SD_DC_STATION,RQ2,station,SD+DC,Two-view fusion: SD + DC,seasonal_naive,"{""seasonal_lag"": 8}",449,15821,1712,4639,0.962676784740495,2.9758773566744297,10.022118498658342,1.9634109763485044,0.9694537946704131,2.271416057998848,7.768468572530685,1.4986246695035077,True,56
RQ2_DE_DC_STATION,RQ2,station,DE+DC,Two-view fusion: DE + DC,seasonal_naive,"{""seasonal_lag"": 8}",449,15821,1712,4639,0.962676784740495,2.9758773566744297,10.022118498658342,1.9634109763485044,0.9694537946704131,2.271416057998848,7.768468572530685,1.4986246695035077,True,56
RQ2_ALL_STATION,RQ2,station,SD+DE+DC+ATD,All-view fusion: SD + DE + DC + ATD,seasonal_naive,"{""seasonal_lag"": 8}",449,15821,1712,4639,0.962676784740495,2.9758773566744297,10.022118498658342,1.9634109763485044,0.9694537946704131,2.271416057998848,7.768468572530685,1.4986246695035077,True,56
RQ2_SD_DE_STATION,RQ2,station,SD+DE,Two-view fusion: SD + DE,tree_lagged,"{""lags"": [1, 8, 56], ""max_depth"": 8, ""n_estimators"": 300, ""max_samples"": 300000}",449,15821,1712,4639,0.5984702029486539,1.8500227218830667,3.5458459018597366,1.220599669704984,0.6083328696512881,1.4253150138055015,3.1940303667938865,0.940387928482163,True,56
RQ2_SD_DC_STATION,RQ2,station,SD+DC,Two-view fusion: SD + DC,tree_lagged,"{""lags"": [1, 8, 56], ""max_depth"": 8, ""n_estimators"": 300, ""max_samples"": 300000}",449,15821,1712,4639,0.5984702029486539,1.8500227218830667,3.5458459018597366,1.220599669704984,0.6083328696512882,1.4253150138055017,3.1940303667938865,0.9403879284821631,True,56
RQ2_DE_DC_STATION,RQ2,station,DE+DC,Two-view fusion: DE + DC,tree_lagged,"{""lags"": [1, 8, 56], ""max_depth"": 8, ""n_estimators"": 300, ""max_samples"": 300000}",449,15821,1712,4639,0.5984702029486539,1.8500227218830667,3.5458459018597366,1.220599669704984,0.6083328696512882,1.4253150138055017,3.1940303667938865,0.9403879284821631,True,56
RQ2_ALL_STATION,RQ2,station,SD+DE+DC+ATD,All-view fusion: SD + DE + DC + ATD,tree_lagged,"{""lags"": [1, 8, 56], ""max_depth"": 8, ""n_estimators"": 300, ""max_samples"": 300000}",449,15821,1712,4639,0.5984702029486539,1.8500227218830667,3.5458459018597366,1.220599669704984,0.6083328696512882,1.4253150138055017,3.1940303667938865,0.9403879284821631,True,56
RQ3_ALL_COMMUNITY,RQ3,community,SD+DE+DC+ATD,All-view community-level baseline,graph_propagation,"{""alpha"": 1.0}",5,15821,1712,4639,0.26143945651072653,72.57415681475862,163.8347713105243,0.7138210277133551,0.292019150395529,61.44085442813956,171.80456472149586,0.6043166848417637,True,56
RQ3_FUNCTIONAL_COMMUNITY,RQ3,community,DE+DC,Functional community-level baseline,graph_propagation,"{""alpha"": 1.0}",5,15821,1712,4639,0.26143945651072653,72.57415681475862,163.8347713105243,0.7138210277133551,0.292019150395529,61.44085442813956,171.80456472149586,0.6043166848417637,True,56
RQ3_ALL_STATION,RQ3,station,SD+DE+DC+ATD,All-view station-level baseline,graph_propagation,"{""alpha"": 0.3}",449,15821,1712,4639,0.7006449404415366,2.1658706705911968,8.43338112324828,1.4289884085620561,0.7407998303329394,1.7356831647176327,21.917644284020113,1.1451612309985193,True,56
RQ3_FUNCTIONAL_STATION,RQ3,station,DE+DC,Functional station-level baseline,graph_propagation,"{""alpha"": 0.5}",449,15821,1712,4639,0.7493018098654961,2.316281356982121,10.606489125528514,1.5282256946544084,0.8014173543646322,1.8777091367017105,37.482056502256064,1.2388664879354943,True,56
RQ3_ALL_COMMUNITY,RQ3,community,SD+DE+DC+ATD,All-view community-level baseline,lagged_linear,"{""lags"": [1, 2, 8, 56], ""max_samples"": 300000}",5,15821,1712,4639,0.2318082937964284,64.348708834825,122.16284045853537,0.6329176043993837,0.2585757732809207,54.404364998932984,124.34101451938136,0.5351075567402718,True,56
RQ3_FUNCTIONAL_COMMUNITY,RQ3,community,DE+DC,Functional community-level baseline,lagged_linear,"{""lags"": [1, 2, 8, 56], ""max_samples"": 300000}",5,15821,1712,4639,0.2318082937964284,64.348708834825,122.16284045853537,0.6329176043993837,0.2585757732809207,54.404364998932984,124.34101451938136,0.5351075567402718,True,56
RQ3_ALL_STATION,RQ3,station,SD+DE+DC+ATD,All-view station-level baseline,lagged_linear,"{""lags"": [1, 8, 56], ""max_samples"": 300000}",449,15821,1712,4639,0.5981801624367697,1.8491261333234215,3.526296109997488,1.2200081225381199,0.6078302078890315,1.4241372846503748,3.173541667874258,0.9396108916378336,True,56
RQ3_FUNCTIONAL_STATION,RQ3,station,DE+DC,Functional station-level baseline,lagged_linear,"{""lags"": [1, 8, 56], ""max_samples"": 300000}",449,15821,1712,4639,0.5981801624367697,1.8491261333234215,3.526296109997488,1.2200081225381199,0.6078302078890315,1.4241372846503748,3.173541667874258,0.9396108916378336,True,56
RQ3_ALL_COMMUNITY,RQ3,community,SD+DE+DC+ATD,All-view community-level baseline,seasonal_naive,"{""seasonal_lag"": 1}",5,15821,1712,4639,0.26143945651072653,72.57415681475862,163.8347713105243,0.7138210277133551,0.292019150395529,61.44085442813956,171.80456472149586,0.6043166848417637,True,56
RQ3_FUNCTIONAL_COMMUNITY,RQ3,community,DE+DC,Functional community-level baseline,seasonal_naive,"{""seasonal_lag"": 1}",5,15821,1712,4639,0.26143945651072653,72.57415681475862,163.8347713105243,0.7138210277133551,0.292019150395529,61.44085442813956,171.80456472149586,0.6043166848417637,True,56
RQ3_ALL_STATION,RQ3,station,SD+DE+DC+ATD,All-view station-level baseline,seasonal_naive,"{""seasonal_lag"": 8}",449,15821,1712,4639,0.962676784740495,2.9758773566744297,10.022118498658342,1.9634109763485044,0.9694537946704131,2.271416057998848,7.768468572530685,1.4986246695035077,True,56
RQ3_FUNCTIONAL_STATION,RQ3,station,DE+DC,Functional station-level baseline,seasonal_naive,"{""seasonal_lag"": 8}",449,15821,1712,4639,0.962676784740495,2.9758773566744297,10.022118498658342,1.9634109763485044,0.9694537946704131,2.271416057998848,7.768468572530685,1.4986246695035077,True,56
RQ3_ALL_COMMUNITY,RQ3,community,SD+DE+DC+ATD,All-view community-level baseline,tree_lagged,"{""lags"": [1, 2, 8, 56], ""max_depth"": 12, ""n_estimators"": 300, ""max_samples"": 300000}",5,15821,1712,4639,0.21423479304875462,59.470401573680476,107.4596193329254,0.5849358095637934,0.23238916248929614,48.89469982993527,103.46311594219394,0.4809158854084371,True,56
RQ3_FUNCTIONAL_COMMUNITY,RQ3,community,DE+DC,Functional community-level baseline,tree_lagged,"{""lags"": [1, 2, 8, 56], ""max_depth"": 12, ""n_estimators"": 300, ""max_samples"": 300000}",5,15821,1712,4639,0.21423479304875462,59.470401573680476,107.45961933292539,0.5849358095637934,0.23238916248929614,48.89469982993527,103.46311594219394,0.4809158854084371,True,56
RQ3_ALL_STATION,RQ3,station,SD+DE+DC+ATD,All-view station-level baseline,tree_lagged,"{""lags"": [1, 8, 56], ""max_depth"": 8, ""n_estimators"": 300, ""max_samples"": 300000}",449,15821,1712,4639,0.5984702029486539,1.8500227218830667,3.5458459018597366,1.220599669704984,0.6083328696512882,1.4253150138055017,3.1940303667938865,0.9403879284821631,True,56
RQ3_FUNCTIONAL_STATION,RQ3,station,DE+DC,Functional station-level baseline,tree_lagged,"{""lags"": [1, 8, 56], ""max_depth"": 8, ""n_estimators"": 300, ""max_samples"": 300000}",449,15821,1712,4639,0.5984702029486539,1.8500227218830667,3.5458459018597366,1.220599669704984,0.6083328696512882,1.4253150138055017,3.1940303667938865,0.9403879284821631,True,56
