experiment_id,rq,aggregation,graph_set,model,alpha,validation_wmape,validation_mae,validation_rmse,validation_mase
RQ1_DC_STATION,RQ1,station,DC,graph_propagation,0.0,0.6554006420356552,2.0260091040935913,4.624649542053912,1.336711173341056
RQ1_DC_STATION,RQ1,station,DC,graph_propagation,0.05,0.6527068960595721,2.0176820541616465,4.518717654940444,1.331217189793544
RQ1_DC_STATION,RQ1,station,DC,graph_propagation,0.1,0.6520169386772507,2.0155492214355784,4.433559595927913,1.3298099990114087
RQ1_DC_STATION,RQ1,station,DC,graph_propagation,0.15,0.6530537995502882,2.0187544205667964,4.368271180759512,1.3319247108766346
RQ1_DC_STATION,RQ1,station,DC,graph_propagation,0.2,0.655607330638913,2.0266480308279506,4.321952809648479,1.3371327215478428
RQ1_DC_STATION,RQ1,station,DC,graph_propagation,0.25,0.6595858435362743,2.038946620169841,4.294173444344332,1.3452470295025412
RQ1_DC_STATION,RQ1,station,DC,graph_propagation,0.3,0.6649913231697094,2.0556563245047603,4.285112282656465,1.3562716830653418
RQ1_DC_STATION,RQ1,station,DC,graph_propagation,0.35,0.6717977252128315,2.076696634234479,4.295025847505003,1.3701535639756717
RQ1_DC_STATION,RQ1,station,DC,graph_propagation,0.4,0.6800299730980225,2.1021445939904364,4.324639619330866,1.3869435043939013
RQ1_DC_STATION,RQ1,station,DC,graph_propagation,0.45,0.6896695452897278,2.131942949023021,4.374713905219616,1.4066037290388738
RQ1_DC_STATION,RQ1,station,DC,graph_propagation,0.5,0.7007801569730043,2.1662886590797745,4.446492299307431,1.4292641871268617
RQ1_DC_STATION,RQ1,station,DC,graph_propagation,0.55,0.7134495082870818,2.205452827466239,4.541504670851625,1.4551037459773233
RQ1_DC_STATION,RQ1,station,DC,graph_propagation,0.6,0.7276934957252795,2.249484594262728,4.661551022440835,1.4841548270114073
RQ1_DC_STATION,RQ1,station,DC,graph_propagation,0.65,0.7435765756627538,2.2985832104227937,4.8084923625380736,1.5165488911269809
RQ1_DC_STATION,RQ1,station,DC,graph_propagation,0.7,0.7611748852166296,2.352984035026914,4.9847049090296345,1.552441222479474
RQ1_DC_STATION,RQ1,station,DC,graph_propagation,0.75,0.7804868791304143,2.412682291296549,5.192902642663155,1.591828669467428
RQ1_DC_STATION,RQ1,station,DC,graph_propagation,0.8,0.8015628567876029,2.4778334673443965,5.436188985541322,1.6348138193384252
RQ1_DC_STATION,RQ1,station,DC,graph_propagation,0.85,0.8244773072807339,2.5486678277902315,5.718071263357102,1.6815485950475286
RQ1_DC_STATION,RQ1,station,DC,graph_propagation,0.9,0.8492738519006934,2.625320217073927,6.042496256653611,1.7321219636527228
RQ1_DC_STATION,RQ1,station,DC,graph_propagation,0.95,0.875984311617123,2.70788900185865,6.413993176101062,1.7865988250685603
RQ1_DC_STATION,RQ1,station,DC,graph_propagation,1.0,0.9046125343800294,2.7963860771308355,6.837756096444125,1.8449870273156863
RQ1_DE_DC_STATION,RQ1,station,DE+DC,graph_propagation,0.0,1.2097958464811382,3.7397848611385043,331.90322979200715,2.4674184334487763
RQ1_DE_DC_STATION,RQ1,station,DE+DC,graph_propagation,0.05,1.0696792503153312,3.3066490335860395,228.74074625940494,2.181646025470022
RQ1_DE_DC_STATION,RQ1,station,DE+DC,graph_propagation,0.1,0.9690957843240324,2.995720107445968,157.9811335469434,1.9765027371962445
RQ1_DE_DC_STATION,RQ1,station,DE+DC,graph_propagation,0.15,0.8968240942502711,2.772310039364733,109.39955784505734,1.8291022474167682
RQ1_DE_DC_STATION,RQ1,station,DE+DC,graph_propagation,0.2,0.845016191905197,2.6121587134687143,76.01499610352062,1.7234383260069148
RQ1_DE_DC_STATION,RQ1,station,DE+DC,graph_propagation,0.25,0.8082179325810804,2.498405989373273,53.05860918767245,1.6483870653836878
RQ1_DE_DC_STATION,RQ1,station,DE+DC,graph_propagation,0.3,0.7826284850028781,2.4193025365583103,37.27169902339499,1.5961965451071645
RQ1_DE_DC_STATION,RQ1,station,DE+DC,graph_propagation,0.35,0.7655683030535527,2.3665652004466593,26.427644922643097,1.5614017427095588
RQ1_DE_DC_STATION,RQ1,station,DE+DC,graph_propagation,0.4,0.7551551515527218,2.334375516168258,19.005904931905867,1.5401637776114157
RQ1_DE_DC_STATION,RQ1,station,DE+DC,graph_propagation,0.45,0.7500296687741065,2.3185313529094365,13.968748078064696,1.5297101868464413
RQ1_DE_DC_STATION,RQ1,station,DE+DC,graph_propagation,0.5,0.7493018098654961,2.316281356982121,10.606489125528514,1.5282256946544084
RQ1_DE_DC_STATION,RQ1,station,DE+DC,graph_propagation,0.55,0.7523137774048986,2.325592110229341,8.427814116612,1.534368701550396
RQ1_DE_DC_STATION,RQ1,station,DE+DC,graph_propagation,0.6,0.7585887429777455,2.344989615454504,7.082419281980145,1.5471667002943439
RQ1_DE_DC_STATION,RQ1,station,DE+DC,graph_propagation,0.65,0.7678465690307059,2.373607896646838,6.311620813032366,1.5660483411291828
