epoch,train_huber,validation_huber,validation_wmape,train_mse,validation_mse
1,0.0927678300368209,0.26525854957955225,0.8781299496387305,0.0927678300368209,0.26525854957955225
2,0.09207703689894368,0.26515781453677584,0.9029468166341615,0.09207703689894368,0.26515781453677584
3,0.09198399440896127,0.2651454944695745,0.893161348125388,0.09198399440896127,0.2651454944695745
4,0.09201977450040079,0.2651807080422129,0.9075451684877843,0.09201977450040079,0.2651807080422129
5,0.09194112424888919,0.2651493400335312,0.8992832755891261,0.09194112424888919,0.2651493400335312
6,0.09192562962491665,0.2651331637586866,0.8921696025187057,0.09192562962491665,0.2651331637586866
7,0.09195790746279302,0.2652006426027843,0.9079177440055567,0.09195790746279302,0.2652006426027843
8,0.09188051912332734,0.26516604317086084,0.9053939524155287,0.09188051912332734,0.26516604317086084
9,0.09187514839633819,0.2651407409991537,0.8966338388414392,0.09187514839633819,0.2651407409991537
10,0.0919410836912932,0.2651410454085895,0.8906175876012284,0.0919410836912932,0.2651410454085895
11,0.09189717850137141,0.2651591343539102,0.9034871722012844,0.09189717850137141,0.2651591343539102
12,0.09193051666502029,0.26515519618988037,0.8857473189737108,0.09193051666502029,0.26515519618988037
13,0.09187534589680933,0.2651481404900551,0.888529960500839,0.09187534589680933,0.2651481404900551
14,0.09186964385932492,0.2652079186269215,0.8782395528334315,0.09186964385932492,0.2652079186269215
